"Count","Date","Avg Price","Volume","Buy","Sell","???","Volume ($)","Buy ($)","Sell ($)","??? ($)","Buy (%)","Sell (%)","??? (%)","Dollar-Buy (%)","Dollar-Sell (%)","Dollar-??? (%)"
1,12/02/2019,0.00441068,2166776,526566,1495686,144524,9556.9590,2404.9862,6523.7100,628.2628,0.24302,0.69028,0.06670,0.25165,0.68261,0.06574
2,12/03/2019,0.00497108,978230,210700,470166,297364,4862.8590,1109.2000,2274.5800,1479.0790,0.21539,0.48063,0.30398,0.22810,0.46775,0.30416
3,12/04/2019,0.00689984,4525990,1907865,2536247,81878,31228.5895,13358.3796,17251.9249,618.2850,0.42154,0.56037,0.01809,0.42776,0.55244,0.01980
4,12/05/2019,0.00582626,1098797,474777,614020,10000,6401.8825,3087.7790,3249.1035,65.0000,0.43209,0.55881,0.00910,0.48232,0.50752,0.01015
5,12/06/2019,0.00657607,1587433,562277,955285,69871,10439.0716,4120.0064,5862.6819,456.3833,0.35421,0.60178,0.04402,0.39467,0.56161,0.04372
6,12/09/2019,0.00601958,1894012,673152,971083,249777,11401.1550,4358.7886,5677.9599,1364.4065,0.35541,0.51271,0.13188,0.38231,0.49802,0.11967
7,12/10/2019,0.00606549,452716,80500,332216,40000,2745.9460,583.6500,1922.2960,240.000,0.17782,0.73383,0.08836,0.21255,0.70005,0.08740
8,12/11/2019,0.00606177,502251,173009,309423,19819,3044.5283,1171.8337,1744.9380,127.7566,0.34447,0.61607,0.03946,0.38490,0.57314,0.04196
9,12/12/2019,0.00519380,535499,289321,225178,21000,2781.2750,1544.1850,1125.890,111.2000,0.54028,0.42050,0.03922,0.55521,0.40481,0.03998
10,12/13/2019,0.00557975,647415,354793,265890,26732,3612.4168,2069.5648,1403.0940,139.7580,0.54801,0.41069,0.04129,0.57290,0.38841,0.03869
11,12/16/2019,0.00537370,136357,27307,109050,0,732.7420,166.842,565.9000,0,0.20026,0.79974,0.00000,0.22770,0.77230,0.00000
12,12/17/2019,0.00617706,713641,270000,378641,65000,4408.2030,1848.4000,2124.3030,435.5000,0.37834,0.53058,0.09108,0.41931,0.48190,0.09879
