Time & Sales
ACCR
12/03/2019
Hours: All
Price: All
Exch: All
Size: All
12/10/2019 04:56:17 PM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"16:00:07 ET","0.0044","10000","0.0035","0.005","10000","10000","OTPK","OTPK","OP","T"
"15:59:59 ET","0.0044","10000","0.0044","0.005","20000","10000","OTPK","OTPK","OP","--"
"15:59:09 ET","0.0044","10000","0.0044","0.005","20000","10000","OTPK","OTPK","OP","--"
"15:59:01 ET","0.0044","10000","0.0044","0.005","20000","10000","OTPK","OTPK","OP","--"
"15:59:00 ET","0.0044","15000","0.0044","0.005","35000","10000","OTPK","OTPK","OP","--"
"15:58:54 ET","0.005","700","0.0044","0.005","35000","10000","OTPK","OTPK","OP","--"
"15:58:48 ET","0.005","10000","0.005","0.0053","10000","29500","OTPK","OTPK","OP","--"
"15:58:47 ET","0.005","10000","0.005","0.0053","10000","29500","OTPK","OTPK","OP","--"
"15:58:17 ET","0.005","10000","0.005","0.0053","10000","29500","OTPK","OTPK","OP","--"
"15:55:50 ET","0.005","4500","0.005","0.0053","10000","29500","OTPK","OTPK","OP","--"
"14:38:19 ET","0.005","45500","0.005","0.0055","45500","189500","OTPK","OTPK","OP","--"
"14:28:07 ET","0.005","1000","0.005","0.0055","45500","189500","OTPK","OTPK","OP","--"
"14:24:34 ET","0.005","54500","0.005","0.0055","100000","189500","OTPK","OTPK","OP","--"
"13:47:51 ET","0.005","200000","0.0044","0.0055","25000","20000","OTPK","OTPK","OP","--"
"13:31:14 ET","0.0055","5000","0.005","0.0055","10000","20000","OTPK","OTPK","OP","--"
"13:29:13 ET","0.0055","105000","0.005","0.0055","10000","20000","OTPK","OTPK","OP","--"
"13:05:43 ET","0.0053","530","0.005","0.0055","10000","20000","OTPK","OTPK","OP","--"
"13:02:02 ET","0.005","7834","0.0044","0.0055","25000","20000","OTPK","OTPK","OP","--"
"13:01:42 ET","0.005","10000","0.0044","0.0055","25000","20000","OTPK","OTPK","OP","--"
"13:01:22 ET","0.005","10000","0.005","0.0055","10000","20000","OTPK","OTPK","OP","--"
"13:01:00 ET","0.005","52166","0.005","0.0055","10000","20000","OTPK","OTPK","OP","--"
"13:00:30 ET","0.005","5000","0.005","0.0055","10000","20000","OTPK","OTPK","OP","--"
"12:55:35 ET","0.005","10000","0.0044","0.0055","25000","20000","OTPK","OTPK","OP","--"
"12:21:02 ET","0.005","10000","0.0044","0.005","25000","10000","OTPK","OTPK","OP","--"
"12:20:35 ET","0.005","10000","0.0044","0.005","25000","10000","OTPK","OTPK","OP","--"
"12:10:13 ET","0.0049","90000","0.0049","0.005","90000","20000","OTPK","OTPK","OP","--"
"12:10:10 ET","0.0049","5000","0.0049","0.005","90000","20000","OTPK","OTPK","OP","--"
"12:09:59 ET","0.0049","10000","0.0044","0.005","25000","20000","OTPK","OTPK","OP","--"
"12:07:56 ET","0.0049","50000","0.0044","0.0049","25000","10000","OTPK","OTPK","OP","--"
"11:24:30 ET","0.0049","21000","0.0049","0.005","10000","20000","OTPK","OTPK","OP","--"
"11:24:30 ET","0.0049","10000","0.0049","0.005","10000","20000","OTPK","OTPK","OP","--"
"11:11:44 ET","0.0049","6500","0.0049","0.005","10000","10000","OTPK","OTPK","OP","--"
"10:56:16 ET","0.0052","4000","0.0049","0.0052","10000","10000","OTPK","OTPK","OP","--"
"10:48:51 ET","0.0051","20000","0.005","0.0052","100000","10000","OTPK","OTPK","OP","--"
"10:46:29 ET","0.0052","25000","0.005","0.0052","100000","10000","OTPK","OTPK","OP","--"
"10:44:07 ET","0.0049","29000","0.0044","0.0052","10000","10000","OTPK","OTPK","OP","--"
"10:41:07 ET","0.0049","1000","0.0046","0.0049","60000","30000","OTPK","OTPK","OP","--"
"10:35:06 ET","0.0046","90000","0.0046","0.0052","60000","10000","OTPK","OTPK","OP","--"
"","","","","","","","","","",""
