Time & Sales
ACCR
12/12/2019
Hours: All
Price: All
Exch: All
Size: All
12/18/2019 09:59:01 AM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:25:30 ET","0.0055","160","0.0051","0.0055","10000","212890","OTPK","OTPK","OP","--"
"14:00:35 ET","0.0055","75000","0.0051","0.0055","10000","434622","OTPK","OTPK","OP","--"
"13:32:06 ET","0.0053","10000","0.005","0.0055","135000","287890","OTPK","OTPK","OP","--"
"13:31:58 ET","0.0053","10000","0.005","0.0053","135000","10000","OTPK","OTPK","OP","--"
"12:52:59 ET","0.0053","10000","0.005","0.0053","10000","10000","OTPK","OTPK","OP","--"
"12:52:44 ET","0.0053","10000","0.005","0.0053","10000","10000","OTPK","OTPK","OP","--"
"12:52:44 ET","0.0052","10000","0.005","0.0053","10000","10000","OTPK","OTPK","OP","--"
"11:49:21 ET","0.005","3839","0.005","0.0056","10000","146732","OTPK","OTPK","OP","--"
"11:28:41 ET","0.005","10000","0.0046","0.005","30000","10000","OTPK","OTPK","OP","--"
"11:28:31 ET","0.005","10000","0.0046","0.005","30000","10000","OTPK","OTPK","OP","--"
"11:28:21 ET","0.005","10000","0.0046","0.005","30000","10000","OTPK","OTPK","OP","--"
"11:28:11 ET","0.005","10000","0.0046","0.005","30000","10000","OTPK","OTPK","OP","--"
"11:28:01 ET","0.005","10000","0.0046","0.005","30000","10000","OTPK","OTPK","OP","--"
"11:27:51 ET","0.005","10000","0.0046","0.005","30000","10000","OTPK","OTPK","OP","--"
"11:27:41 ET","0.005","10000","0.0047","0.005","10000","10000","OTPK","OTPK","OP","--"
"11:27:31 ET","0.005","10000","0.0047","0.005","10000","10000","OTPK","OTPK","OP","--"
"11:27:21 ET","0.005","10000","0.0047","0.005","10000","10000","OTPK","OTPK","OP","--"
"11:27:20 ET","0.005","6161","0.0047","0.005","10000","10000","OTPK","OTPK","OP","--"
"11:20:17 ET","0.0055","18000","0.0046","0.0055","98161","184732","OTPK","OTPK","OP","--"
"11:09:53 ET","0.005","93839","0.005","0.0055","100000","184732","OTPK","OTPK","OP","--"
"11:09:50 ET","0.005","90000","0.005","0.0055","100000","184732","OTPK","OTPK","OP","--"
"11:07:23 ET","0.005","37500","0.005","0.0055","100000","10000","OTPK","OTPK","OP","--"
"10:48:56 ET","0.0055","20000","0.0052","0.0055","20000","10000","OTPK","OTPK","OP","--"
"10:17:17 ET","0.0055","30000","0.0052","0.0055","20000","10000","OTPK","OTPK","OP","--"
"10:17:15 ET","0.0055","10000","0.0052","0.0055","20000","10000","OTPK","OTPK","OP","--"
"09:30:16 ET","0.0062","10000","0.0052","0.0062","20000","164732","OTPK","OTPK","OP","--"
"09:30:08 ET","0.0062","1000","0.0052","0.0063","20000","37500","OTPK","OTPK","OP","--"
"","","","","","","","","","",""
