Time & Sales
ACCR
10/18/2019
Hours: All
Price: All
Exch: All
Size: All
10/21/2019 11:22:05 AM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"16:00:05 ET","0.015","15400","0.015","0.016","15400","10000","OTPK","OTPK","OP","T"
"16:00:02 ET","0.015","15400","0.015","0.016","15400","10000","OTPK","OTPK","OP","T"
"15:59:57 ET","0.015","10000","0.015","0.016","25400","10000","OTPK","OTPK","OP","--"
"15:59:53 ET","0.016","10000","0.015","0.016","25400","10000","OTPK","OTPK","OP","--"
"15:59:41 ET","0.015","44929","0.015","0.016","25400","10000","OTPK","OTPK","OP","--"
"15:59:41 ET","0.015","5071","0.015","0.016","25400","10000","OTPK","OTPK","OP","--"
"15:58:56 ET","0.0151","100000","0.0151","0.016","105071","10000","OTPK","OTPK","OP","--"
"15:58:28 ET","0.0151","50000","0.0151","0.016","105071","10000","OTPK","OTPK","OP","--"
"15:56:38 ET","0.015","222434","0.0146","0.015","10000","222434","OTPK","OTPK","OP","--"
"15:56:36 ET","0.0148","66234","0.0148","0.015","10000","222434","OTPK","OTPK","OP","--"
"15:56:14 ET","0.015","10000","0.0148","0.015","10000","222434","OTPK","OTPK","OP","--"
"15:56:09 ET","0.015","100","0.0148","0.015","10000","222434","OTPK","OTPK","OP","--"
"15:55:59 ET","0.0149","20000","0.0148","0.0149","10000","22534","OTPK","OTPK","OP","--"
"15:55:32 ET","0.0149","10466","0.0148","0.0149","10000","33000","OTPK","OTPK","OP","--"
"15:55:21 ET","0.0149","1000","0.0148","0.0149","10000","33000","OTPK","OTPK","OP","--"
"15:55:19 ET","0.0149","13000","0.0148","0.0149","10000","33000","OTPK","OTPK","OP","--"
"15:54:55 ET","0.0149","10000","0.0148","0.0149","10000","43000","OTPK","OTPK","OP","--"
"15:54:54 ET","0.0148","10000","0.0148","0.0149","10000","43000","OTPK","OTPK","OP","--"
"15:54:44 ET","0.0148","4000","0.0148","0.0149","10000","43000","OTPK","OTPK","OP","--"
"15:54:37 ET","0.0148","23766","0.0146","0.0148","10000","23766","OTPK","OTPK","OP","--"
"15:54:17 ET","0.0148","13766","0.0146","0.0148","10000","23766","OTPK","OTPK","OP","--"
"15:53:51 ET","0.0146","9100","0.0146","0.0148","10000","23766","OTPK","OTPK","OP","--"
"15:53:45 ET","0.0147","15000","0.0146","0.0147","10000","19000","OTPK","OTPK","OP","--"
"15:53:39 ET","0.0146","10000","0.014","0.0147","10000","19000","OTPK","OTPK","OP","--"
"15:53:16 ET","0.0146","10000","0.0146","0.0147","10000","19000","OTPK","OTPK","OP","--"
"15:53:05 ET","0.0146","6665","0.0146","0.0147","10000","19000","OTPK","OTPK","OP","--"
"15:52:59 ET","0.0146","40000","0.014","0.0146","10000","40000","OTPK","OTPK","OP","--"
"15:52:23 ET","0.0146","1936","0.0134","0.0146","10000","40000","OTPK","OTPK","OP","--"
"15:51:52 ET","0.0147","1000","0.0133","0.0147","10000","20000","OTPK","OTPK","OP","--"
"15:51:43 ET","0.0133","1000","0.0133","0.0148","10000","82866","OTPK","OTPK","OP","--"
"15:51:37 ET","0.0133","20000","0.0133","0.0148","10000","42866","OTPK","OTPK","OP","--"
"15:51:31 ET","0.0148","900","0.0133","0.0148","10000","43766","OTPK","OTPK","OP","--"
"15:51:29 ET","0.0148","1234","0.0133","0.0148","10000","45000","OTPK","OTPK","OP","--"
"15:50:48 ET","0.0133","10000","0.0133","0.0149","10000","43000","OTPK","OTPK","OP","--"
"15:50:40 ET","0.0149","25987","0.0133","0.0149","10000","43000","OTPK","OTPK","OP","--"
"15:50:17 ET","0.0133","25000","0.0133","0.0149","25000","43000","OTPK","OTPK","OP","--"
"15:50:08 ET","0.0149","7000","0.0133","0.0149","25000","50000","OTPK","OTPK","OP","--"
"15:48:42 ET","0.015","100","0.0133","0.015","25000","20000","OTPK","OTPK","OP","--"
"15:48:09 ET","0.0149","20000","0.0133","0.0149","25000","10000","OTPK","OTPK","OP","--"
"15:45:27 ET","0.0149","10000","0.0133","0.0149","25000","10000","OTPK","OTPK","OP","--"
"15:44:55 ET","0.0141","5000","0.0133","0.0149","25000","10000","OTPK","OTPK","OP","--"
"15:42:22 ET","0.0131","10000","0.0131","0.0149","37500","10000","OTPK","OTPK","OP","--"
"15:38:17 ET","0.0149","9000","0.0127","0.0149","90000","10000","OTPK","OTPK","OP","--"
"15:37:58 ET","0.0149","1000","0.0126","0.0149","10000","10000","OTPK","OTPK","OP","--"
"15:37:25 ET","0.014","13920","0.0126","0.014","10000","13920","OTPK","OTPK","OP","--"
"15:37:18 ET","0.0149","35000","0.0126","0.0149","10000","35000","OTPK","OTPK","OP","--"
"15:37:12 ET","0.0149","15000","0.014","0.0149","80000","50000","OTPK","OTPK","OP","--"
"15:37:04 ET","0.014","50000","0.0126","0.0149","10000","50000","OTPK","OTPK","OP","--"
"15:36:54 ET","0.014","10000","0.0126","0.014","10000","10000","OTPK","OTPK","OP","--"
"15:36:44 ET","0.014","25000","0.0126","0.014","10000","35000","OTPK","OTPK","OP","--"
"15:35:53 ET","0.014","20000","0.0126","0.014","10000","45000","OTPK","OTPK","OP","--"
"15:34:27 ET","0.014","1000","0.0125","0.014","70000","45000","OTPK","OTPK","OP","--"
"15:34:02 ET","0.0125","70000","0.0125","0.014","140000","45000","OTPK","OTPK","OP","--"
"15:33:58 ET","0.0125","1029","0.0125","0.014","140000","45000","OTPK","OTPK","OP","--"
"15:33:54 ET","0.0125","10000","0.012","0.0125","20000","10000","OTPK","OTPK","OP","--"
"15:33:52 ET","0.012","10000","0.012","0.0125","20000","10000","OTPK","OTPK","OP","--"
"15:33:32 ET","0.0125","5000","0.012","0.0125","20000","10000","OTPK","OTPK","OP","--"
"15:33:30 ET","0.0125","5000","0.012","0.0125","20000","10000","OTPK","OTPK","OP","--"
"15:33:16 ET","0.013","10000","0.012","0.0125","20000","10000","OTPK","OTPK","OP","--"
"15:33:13 ET","0.0125","10000","0.012","0.0125","20000","10000","OTPK","OTPK","OP","--"
"15:33:13 ET","0.0125","10000","0.012","0.0125","20000","10000","OTPK","OTPK","OP","--"
"15:32:58 ET","0.0125","101840","0.0125","0.013","111840","10000","OTPK","OTPK","OP","--"
"15:32:10 ET","0.013","6153","0.0125","0.013","111840","10000","OTPK","OTPK","OP","--"
"15:30:41 ET","0.0127","80000","0.0125","0.013","111840","10000","OTPK","OTPK","OP","--"
"15:30:06 ET","0.013","55000","0.0125","0.013","10000","20000","OTPK","OTPK","OP","--"
"15:30:05 ET","0.013","10000","0.0125","0.013","10000","20000","OTPK","OTPK","OP","--"
"15:29:04 ET","0.013","10000","0.0125","0.013","10000","10000","OTPK","OTPK","OP","--"
"15:28:40 ET","0.0127","50000","0.0125","0.013","10000","10000","OTPK","OTPK","OP","--"
"15:28:09 ET","0.0127","10000","0.0125","0.013","10000","10000","OTPK","OTPK","OP","--"
"15:27:38 ET","0.0125","35800","0.0125","0.013","10000","10000","OTPK","OTPK","OP","--"
"15:26:48 ET","0.014","35000","0.012","0.014","70000","45000","OTPK","OTPK","OP","--"
"15:24:02 ET","0.014","10000","0.0111","0.014","124720","45000","OTPK","OTPK","OP","--"
"15:23:45 ET","0.0126","1000","0.0111","0.014","124720","45000","OTPK","OTPK","OP","--"
"15:21:05 ET","0.012","217868","0.0111","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:20:56 ET","0.012","100000","0.0111","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:19:52 ET","0.012","100000","0.0111","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:18:44 ET","0.012","50000","0.0111","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:18:12 ET","0.012","10000","0.0111","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:17:37 ET","0.012","50000","0.012","0.014","10000","45000","OTPK","OTPK","OP","--"
"15:16:59 ET","0.012","10000","0.0111","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:15:25 ET","0.012","8500","0.0111","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:15:03 ET","0.012","50000","0.0111","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:13:44 ET","0.012","25000","0.011","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:13:35 ET","0.012","10000","0.011","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:13:25 ET","0.012","10000","0.011","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:12:45 ET","0.012","30000","0.012","0.015","10000","45170","OTPK","OTPK","OP","--"
"15:12:45 ET","0.015","6500","0.012","0.015","10000","51670","OTPK","OTPK","OP","--"
"15:12:24 ET","0.012","9166","0.012","0.015","10000","51670","OTPK","OTPK","OP","--"
"15:12:14 ET","0.012","10000","0.012","0.015","10000","51670","OTPK","OTPK","OP","--"
"15:12:00 ET","0.012","10000","0.012","0.015","10000","51670","OTPK","OTPK","OP","--"
"15:08:31 ET","0.012","10000","0.0105","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:08:15 ET","0.012","30000","0.0105","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:08:07 ET","0.012","10000","0.0105","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:08:00 ET","0.012","10000","0.0105","0.012","10000","10000","OTPK","OTPK","OP","--"
"15:07:43 ET","0.012","100000","0.0105","0.012","10000","110000","OTPK","OTPK","OP","--"
"15:07:36 ET","0.012","115000","0.0105","0.012","10000","110000","OTPK","OTPK","OP","--"
"15:07:12 ET","0.0116","13007","0.0105","0.0116","10000","10000","OTPK","OTPK","OP","--"
"15:07:01 ET","0.011","8333","0.0101","0.0116","146138","10000","OTPK","OTPK","OP","--"
"15:07:01 ET","0.0116","21000","0.0101","0.0116","146138","10000","OTPK","OTPK","OP","--"
"15:04:52 ET","0.0116","10000","0.0101","0.0116","20000","20000","OTPK","OTPK","OP","--"
"15:02:50 ET","0.0101","5000","0.0101","0.0116","20000","20000","OTPK","OTPK","OP","--"
"15:02:48 ET","0.011","10000","0.0101","0.0116","20000","20000","OTPK","OTPK","OP","--"
"15:02:42 ET","0.011","10000","0.011","0.0116","10000","20000","OTPK","OTPK","OP","--"
"14:58:47 ET","0.011","21667","0.0101","0.011","20000","21667","OTPK","OTPK","OP","--"
"14:58:43 ET","0.011","10000","0.0101","0.011","20000","31667","OTPK","OTPK","OP","--"
"14:58:18 ET","0.011","100000","0.0101","0.011","20000","31667","OTPK","OTPK","OP","--"
"14:57:55 ET","0.011","18333","0.0101","0.011","20000","50000","OTPK","OTPK","OP","--"
"14:57:40 ET","0.0101","10000","0.0101","0.011","20000","50000","OTPK","OTPK","OP","--"
"14:57:37 ET","0.0101","20000","0.0101","0.011","40000","50000","OTPK","OTPK","OP","--"
"14:57:13 ET","0.0101","50000","0.0101","0.011","40000","50000","OTPK","OTPK","OP","--"
"14:53:52 ET","0.0101","100000","0.0101","0.011","40000","50000","OTPK","OTPK","OP","--"
"14:53:16 ET","0.011","5000","0.0101","0.011","30000","50000","OTPK","OTPK","OP","--"
"14:51:19 ET","0.011","10262","0.011","0.0116","10262","10000","OTPK","OTPK","OP","--"
"14:51:01 ET","0.011","39738","0.01","0.011","20000","10000","OTPK","OTPK","OP","--"
"14:50:35 ET","0.011","10000","0.01","0.011","20000","10000","OTPK","OTPK","OP","--"
"14:49:56 ET","0.011","100000","0.01","0.011","20000","100000","OTPK","OTPK","OP","--"
"14:49:08 ET","0.0109","10000","0.01","0.0109","20000","10000","OTPK","OTPK","OP","--"
"14:48:16 ET","0.01","19195","0.01","0.0109","10000","10000","OTPK","OTPK","OP","--"
"14:47:30 ET","0.0099","7500","0.01","0.0109","10000","10000","OTPK","OTPK","OP","--"
"14:47:25 ET","0.01","4200","0.01","0.0109","10000","10000","OTPK","OTPK","OP","--"
"14:47:15 ET","0.0099","20000","0.009","0.0099","30000","20000","OTPK","OTPK","OP","--"
"14:47:10 ET","0.0099","30000","0.009","0.0099","30000","20000","OTPK","OTPK","OP","--"
"14:47:09 ET","0.0099","10000","0.009","0.0099","30000","20000","OTPK","OTPK","OP","--"
"14:47:08 ET","0.0099","30000","0.009","0.0099","30000","20000","OTPK","OTPK","OP","--"
"14:47:07 ET","0.0099","10000","0.009","0.0099","30000","20000","OTPK","OTPK","OP","--"
"14:46:59 ET","0.0099","774","0.0095","0.0099","10000","20000","OTPK","OTPK","OP","--"
"14:46:54 ET","0.0099","10000","0.0095","0.0099","10000","20000","OTPK","OTPK","OP","--"
"14:46:42 ET","0.0099","50000","0.0095","0.0099","10000","30000","OTPK","OTPK","OP","--"
"14:46:13 ET","0.0095","49738","0.009","0.0099","30000","20000","OTPK","OTPK","OP","--"
"14:44:56 ET","0.0095","4736","0.0086","0.0095","30000","10000","OTPK","OTPK","OP","--"
"14:43:16 ET","0.0095","10000","0.0084","0.0095","10000","10000","OTPK","OTPK","OP","--"
"14:43:02 ET","0.0095","10526","0.0084","0.0095","10000","10000","OTPK","OTPK","OP","--"
"14:42:39 ET","0.0095","50000","0.009","0.0095","11111","10000","OTPK","OTPK","OP","--"
"14:42:36 ET","0.0095","20000","0.009","0.0095","11111","10000","OTPK","OTPK","OP","--"
"14:41:20 ET","0.009","50000","0.009","0.0095","11111","10000","OTPK","OTPK","OP","--"
"14:41:12 ET","0.0095","10000","0.009","0.0095","11111","10000","OTPK","OTPK","OP","--"
