Time & Sales
ACCR
10/23/2019
Hours: All
Price: All
Exch: All
Size: All
10/23/2019 04:38:07 PM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:58:29 ET","0.0075","20000","0.0075","0.0077","20000","10000","OTPK","OTPK","OP","--"
"15:52:05 ET","0.0077","16000","0.0071","0.0077","10000","10000","OTPK","OTPK","OP","--"
"15:51:17 ET","0.0077","30000","0.0071","0.0077","10000","10000","OTPK","OTPK","OP","--"
"15:38:25 ET","0.0071","40000","0.0071","0.0077","10000","10000","OTPK","OTPK","OP","--"
"15:38:24 ET","0.0071","10000","0.0071","0.0077","10000","10000","OTPK","OTPK","OP","--"
"15:38:09 ET","0.0071","16000","0.0071","0.0072","10000","10000","OTPK","OTPK","OP","--"
"15:35:28 ET","0.0076","7400","0.0069","0.0077","10000","20000","OTPK","OTPK","OP","--"
"15:35:28 ET","0.0077","10000","0.0069","0.0077","10000","20000","OTPK","OTPK","OP","--"
"15:33:29 ET","0.0073","50000","0.0069","0.0077","10000","20000","OTPK","OTPK","OP","--"
"15:32:50 ET","0.0077","50000","0.0069","0.0077","10000","30000","OTPK","OTPK","OP","--"
"15:25:57 ET","0.0069","150000","0.0069","0.0077","160000","30000","OTPK","OTPK","OP","--"
"15:25:31 ET","0.007","10000","0.007","0.0077","10000","30000","OTPK","OTPK","OP","--"
"15:22:54 ET","0.0073","500","0.007","0.0077","10000","30000","OTPK","OTPK","OP","--"
"13:50:43 ET","0.0077","2100","0.0069","0.0086","10000","22900","OTPK","OTPK","OP","--"
"13:49:19 ET","0.0068","4200","0.0063","0.0068","20000","10000","OTPK","OTPK","OP","--"
"13:48:42 ET","0.0068","7000","0.0063","0.0068","20000","10000","OTPK","OTPK","OP","--"
"13:48:28 ET","0.0086","4200","0.0063","0.0086","20000","22900","OTPK","OTPK","OP","--"
"13:47:36 ET","0.0086","2100","0.0063","0.0086","20000","25000","OTPK","OTPK","OP","--"
"13:38:26 ET","0.008","15000","0.0063","0.008","20000","15500","OTPK","OTPK","OP","--"
"13:38:17 ET","0.0079","19304","0.0063","0.008","20000","15500","OTPK","OTPK","OP","--"
"13:38:17 ET","0.0075","696","0.0063","0.008","20000","15500","OTPK","OTPK","OP","--"
"13:34:21 ET","0.007","40000","0.0063","0.007","20000","16196","OTPK","OTPK","OP","--"
"13:34:08 ET","0.007","3000","0.0063","0.007","20000","19196","OTPK","OTPK","OP","--"
"13:34:07 ET","0.007","87000","0.0063","0.0068","20000","10000","OTPK","OTPK","OP","--"
"13:33:56 ET","0.0068","10000","0.0063","0.0068","20000","10000","OTPK","OTPK","OP","--"
"13:33:31 ET","0.0068","15000","0.0068","0.007","10000","106196","OTPK","OTPK","OP","--"
"13:33:10 ET","0.0068","10000","0.0063","0.007","20000","106196","OTPK","OTPK","OP","--"
"13:29:12 ET","0.0062","1350","0.0062","0.0068","10000","10000","OTPK","OTPK","OP","--"
"13:29:02 ET","0.0062","20000","0.0052","0.0062","10000","10000","OTPK","OTPK","OP","--"
"13:28:52 ET","0.006","10000","0.0052","0.0062","10000","10000","OTPK","OTPK","OP","--"
"13:24:03 ET","0.006","20000","0.0051","0.006","1351568","10000","OTPK","OTPK","OP","--"
"12:58:54 ET","0.006","3650","0.0048","0.006","50000","10000","OTPK","OTPK","OP","--"
"12:45:20 ET","0.0062","2000","0.0048","0.0062","50000","10000","OTPK","OTPK","OP","--"
"12:34:49 ET","0.006","29350","0.0046","0.006","65000","29350","OTPK","OTPK","OP","--"
"12:22:31 ET","0.006","10000","0.0046","0.006","55000","39350","OTPK","OTPK","OP","--"
"12:15:37 ET","0.006","1700","0.0046","0.006","10000","41050","OTPK","OTPK","OP","--"
"12:03:48 ET","0.0046","10000","0.0045","0.0059","10000","101463","OTPK","OTPK","OP","--"
"12:02:46 ET","0.0045","50111","0.0045","0.006","10000","11050","OTPK","OTPK","OP","--"
"12:01:48 ET","0.005","50000","0.0045","0.005","10000","50111","OTPK","OTPK","OP","--"
"11:59:24 ET","0.005","10000","0.0042","0.005","20000","50111","OTPK","OTPK","OP","--"
"11:59:20 ET","0.005","50000","0.005","0.006","60000","11050","OTPK","OTPK","OP","--"
"11:44:57 ET","0.0055","250","0.005","0.006","10000","11050","OTPK","OTPK","OP","--"
"11:39:43 ET","0.0055","7333","0.005","0.006","10000","11050","OTPK","OTPK","OP","--"
"11:39:07 ET","0.005","3000","0.005","0.006","10000","11050","OTPK","OTPK","OP","--"
"11:29:01 ET","0.0051","100000","0.0051","0.006","100000","11050","OTPK","OTPK","OP","--"
"11:23:50 ET","0.005","10000","0.0042","0.0059","30000","10000","OTPK","OTPK","OP","--"
"11:18:05 ET","0.0059","50000","0.0041","0.0059","120000","161463","OTPK","OTPK","OP","--"
"11:16:21 ET","0.0041","100000","0.0041","0.0059","110000","101463","OTPK","OTPK","OP","--"
"11:12:59 ET","0.0059","250000","0.0041","0.0059","10000","101463","OTPK","OTPK","OP","--"
"11:12:58 ET","0.0059","100000","0.0041","0.0059","10000","201463","OTPK","OTPK","OP","--"
"11:12:24 ET","0.006","4450","0.0041","0.006","10000","15500","OTPK","OTPK","OP","--"
"11:09:39 ET","0.005","90000","0.005","0.006","90000","15500","OTPK","OTPK","OP","--"
"11:09:27 ET","0.0053","50000","0.0053","0.006","10000","15500","OTPK","OTPK","OP","--"
"11:09:19 ET","0.006","100000","0.0053","0.006","10000","15500","OTPK","OTPK","OP","--"
"11:09:12 ET","0.0053","40000","0.0053","0.006","10000","15500","OTPK","OTPK","OP","--"
"11:09:07 ET","0.0054","10000","0.0054","0.006","10000","15500","OTPK","OTPK","OP","--"
"11:07:08 ET","0.0053","12000","0.005","0.0053","90000","12000","OTPK","OTPK","OP","--"
"11:05:24 ET","0.005","10000","0.005","0.0053","90000","12000","OTPK","OTPK","OP","--"
"11:03:57 ET","0.005","100000","0.004","0.005","30000","10000","OTPK","OTPK","OP","--"
