Time & Sales
BNGI
10/04/2019
Hours: All
Price: All
Exch: All
Size: All
10/07/2019 10:38:22 AM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"14:51:25 ET","0.0003","96577","0.0002","0.0003","357122940","1988221","OTPK","OTPK","OP","--"
"14:48:48 ET","0.0003","1000000","0.0002","0.0003","357122940","2988221","OTPK","OTPK","OP","--"
"13:41:56 ET","0.0003","100000","0.0002","0.0003","354222940","3088221","OTPK","OTPK","OP","--"
"13:21:42 ET","0.0003","2000000","0.0002","0.0003","354222940","5088221","OTPK","OTPK","OP","--"
"12:57:40 ET","0.0003","4000","0.0002","0.0003","354222940","5092221","OTPK","OTPK","OP","--"
"12:57:36 ET","0.0003","4000","0.0002","0.0003","354222940","5092221","OTPK","OTPK","OP","--"
"12:15:28 ET","0.0003","280000","0.0002","0.0003","354222940","5372221","OTPK","OTPK","OP","--"
"12:15:18 ET","0.0003","20000","0.0002","0.0003","354222940","5372221","OTPK","OTPK","OP","--"
"12:03:49 ET","0.0003","400000","0.0002","0.0003","352742940","5772221","OTPK","OTPK","OP","--"
"12:03:44 ET","0.0003","10000","0.0002","0.0003","352742940","5772221","OTPK","OTPK","OP","--"
"11:59:28 ET","0.0003","666666","0.0002","0.0003","351742940","6438887","OTPK","OTPK","OP","--"
"11:59:19 ET","0.0003","10000","0.0002","0.0003","351742940","6438887","OTPK","OTPK","OP","--"
"11:58:06 ET","0.0003","75000","0.0002","0.0003","351742940","6513887","OTPK","OTPK","OP","--"
"11:58:06 ET","0.0003","75000","0.0002","0.0003","351742940","6513887","OTPK","OTPK","OP","--"
"11:57:23 ET","0.0003","1000000","0.0002","0.0003","351742940","7513887","OTPK","OTPK","OP","--"
"11:55:05 ET","0.0003","1736113","0.0002","0.0003","351742940","9250000","OTPK","OTPK","OP","--"
"11:55:02 ET","0.0003","440553","0.0002","0.0003","351742940","9250000","OTPK","OTPK","OP","--"
"11:55:00 ET","0.0003","823334","0.0002","0.0003","351742940","10503887","OTPK","OTPK","OP","--"
"11:33:48 ET","0.0003","176666","0.0002","0.0003","351742940","10680553","OTPK","OTPK","OP","--"
"11:27:33 ET","0.0003","1000000","0.0002","0.0003","298779620","11680553","OTPK","OTPK","OP","--"
"11:27:22 ET","0.0003","250000","0.0002","0.0003","352742940","11930553","OTPK","OTPK","OP","--"
"11:17:53 ET","0.0003","500000","0.0002","0.0003","352742940","11500000","OTPK","OTPK","OP","--"
"11:03:51 ET","0.0003","500000","0.0002","0.0003","354742940","12930553","OTPK","OTPK","OP","--"
"10:41:31 ET","0.0003","50000","0.0002","0.0003","354342940","2010000","OTPK","OTPK","OP","--"
"10:35:39 ET","0.0003","797030","0.0003","0.0004","797030","136792251","OTPK","OTPK","OP","--"
"10:35:36 ET","0.0003","10000","0.0003","0.0004","797030","136792251","OTPK","OTPK","OP","--"
"10:35:21 ET","0.0003","1787583","0.0003","0.0004","807030","136792251","OTPK","OTPK","OP","--"
"10:35:20 ET","0.0003","250000","0.0003","0.0004","6847030","136792251","OTPK","OTPK","OP","--"
"10:35:20 ET","0.0003","800000","0.0003","0.0004","6847030","136792251","OTPK","OTPK","OP","--"
"10:03:33 ET","0.0004","250000","0.0003","0.0004","6847030","120220785","OTPK","OTPK","OP","--"
"09:55:35 ET","0.0004","10000","0.0003","0.0004","6847030","136052252","OTPK","OTPK","OP","--"
"09:41:26 ET","0.0004","633333","0.0003","0.0004","6847030","134185585","OTPK","OTPK","OP","--"
"09:30:01 ET","0.0003","643333","0.0003","0.0004","10000","30000","OTPK","OTPK","OP","--"
"","","","","","","","","","",""
