Time & Sales
BNGI
10/07/2019
Hours: All
Price: All
Exch: All
Size: All
10/07/2019 10:38:46 AM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"10:09:38 ET","0.0003","20000","0.0002","0.0003","365324940","780000","OTPK","OTPK","OP","--"
"09:43:15 ET","0.0003","720000","0.0002","0.0004","294761620","126443329","OTPK","OTPK","OP","--"
"09:34:14 ET","0.0003","10000","0.0002","0.0003","288914940","10000","OTPK","OTPK","OP","--"
"09:34:04 ET","0.0003","20000","0.0002","0.0003","288914940","10000","OTPK","OTPK","OP","--"
"","","","","","","","","","",""
