Time & Sales
ANDI
10/11/2019
Hours: All
Price: All
Exch: All
Size: All
10/18/2019 09:49:42 AM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:09:25 ET","0.0002","56075","0.0002","0.0003","197750117","29828139","OTPK","OTPK","OP","--"
"15:01:51 ET","0.0002","5000","0.0002","0.0003","197755117","29828139","OTPK","OTPK","OP","--"
"12:49:51 ET","0.0002","500000","0.0002","0.0003","197255117","29828139","OTPK","OTPK","OP","--"
"12:08:38 ET","0.0002","4500","0.0002","0.0003","192259617","29828139","OTPK","OTPK","OP","--"
"10:40:58 ET","0.0003","200000","0.0002","0.0003","192259617","28558140","OTPK","OTPK","OP","--"
"10:38:50 ET","0.0003","62500","0.0002","0.0003","192259617","30090639","OTPK","OTPK","OP","--"
"10:38:23 ET","0.0003","37500","0.0002","0.0003","192259617","30090639","OTPK","OTPK","OP","--"
"10:34:40 ET","0.0002","500000","0.0002","0.0003","192759617","30090639","OTPK","OTPK","OP","--"
"10:15:00 ET","0.0002","500000","0.0002","0.0003","193259617","30090639","OTPK","OTPK","OP","--"
"","","","","","","","","","",""
