Time & Sales
BNGI
10/18/2019
Hours: All
Price: All
Exch: All
Size: All
10/18/2019 01:55:24 PM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"13:54:47 ET","0.0002","500000","0.0001","0.0002","1767450380","86419764","OTPK","OTPK","OP","--"
"13:54:12 ET","0.0002","2500000","0.0001","0.0002","1767450380","43919764","OTPK","OTPK","OP","--"
"13:52:45 ET","0.0002","256982","0.0001","0.0002","1767450380","14000001","OTPK","OTPK","OP","--"
"13:52:36 ET","0.0002","10000","0.0001","0.0002","1767450380","9010001","OTPK","OTPK","OP","--"
"13:52:26 ET","0.0002","3483018","0.0001","0.0002","1767450380","12483019","OTPK","OTPK","OP","--"
"13:51:39 ET","0.0002","1000000","0.0001","0.0002","1767450380","13483019","OTPK","OTPK","OP","--"
"13:48:40 ET","0.0002","600000","0.0001","0.0002","1757450380","14083019","OTPK","OTPK","OP","--"
"13:47:50 ET","0.0002","4949999","0.0001","0.0002","1757450380","18043018","OTPK","OTPK","OP","--"
"13:46:17 ET","0.0002","499999","0.0001","0.0002","1757450380","18543018","OTPK","OTPK","OP","--"
"13:46:17 ET","0.0002","1","0.0001","0.0002","1757450380","18543018","OTPK","OTPK","OP","--"
"13:45:07 ET","0.0002","400000","0.0001","0.0002","1756450380","16443018","OTPK","OTPK","OP","--"
"13:44:54 ET","0.0002","60000","0.0001","0.0002","1756450380","16503018","OTPK","OTPK","OP","--"
"13:44:52 ET","0.0001","20000","0.0001","0.0002","1756450380","16503018","OTPK","OTPK","OP","--"
"13:44:52 ET","0.0002","99999","0.0001","0.0002","1756450380","16603018","OTPK","OTPK","OP","--"
"13:44:52 ET","0.0002","1","0.0001","0.0002","1756450380","16603018","OTPK","OTPK","OP","--"
"13:43:32 ET","0.0002","499999","0.0001","0.0002","1656450380","17103017","OTPK","OTPK","OP","--"
"13:43:32 ET","0.0002","500000","0.0001","0.0002","1656450380","17103017","OTPK","OTPK","OP","--"
"13:43:32 ET","0.0001","20000","0.0001","0.0002","1656450380","17103017","OTPK","OTPK","OP","--"
"13:42:55 ET","0.0001","40158496","0.0001","0.0002","1656450380","17103017","OTPK","OTPK","OP","--"
"13:42:51 ET","0.0002","425000","0.0001","0.0002","1656450380","17103017","OTPK","OTPK","OP","--"
"13:41:28 ET","0.0001","99999999","0.0001","0.0002","1639450380","17103017","OTPK","OTPK","OP","--"
"13:36:39 ET","0.0001","99999999","0.0001","0.0002","1629450380","45269762","OTPK","OTPK","OP","--"
"13:36:32 ET","0.0002","10000000","0.0001","0.0002","1629450380","55269762","OTPK","OTPK","OP","--"
"13:34:41 ET","0.0002","1250000","0.0001","0.0002","1629450380","37063095","OTPK","OTPK","OP","--"
"13:33:41 ET","0.0001","99999999","0.0001","0.0002","1625450380","37063095","OTPK","OTPK","OP","--"
"13:32:09 ET","0.0001","99999999","0.0001","0.0002","1621450380","27063095","OTPK","OTPK","OP","--"
"13:30:05 ET","0.0002","30000","0.0001","0.0002","1621450380","27063095","OTPK","OTPK","OP","--"
"13:28:51 ET","0.0002","500000","0.0001","0.0002","1620250380","22593095","OTPK","OTPK","OP","--"
"13:17:35 ET","0.0002","4990000","0.0001","0.0002","1619850380","10000","OTPK","OTPK","OP","--"
"13:17:27 ET","0.0002","10000","0.0001","0.0002","1619850380","10000","OTPK","OTPK","OP","--"
"13:17:27 ET","0.0002","700000","0.0001","0.0002","1619850380","10000","OTPK","OTPK","OP","--"
"13:16:09 ET","0.0002","4049999","0.0001","0.0003","1201297330","165152545","OTPK","OTPK","OP","--"
"13:15:50 ET","0.0002","920001","0.0001","0.0002","1619850380","20000","OTPK","OTPK","OP","--"
"13:15:35 ET","0.0002","979999","0.0001","0.0002","1619850380","20000","OTPK","OTPK","OP","--"
"13:15:33 ET","0.0002","100000","0.0001","0.0002","1619850380","20000","OTPK","OTPK","OP","--"
"13:15:33 ET","0.0002","1900000","0.0001","0.0002","1619850380","30000","OTPK","OTPK","OP","--"
"13:15:29 ET","0.0002","30000","0.0001","0.0002","1619850380","20000","OTPK","OTPK","OP","--"
"13:15:27 ET","0.0002","100000","0.0001","0.0002","1619850380","20000","OTPK","OTPK","OP","--"
"13:15:14 ET","0.0001","20000","0.0001","0.0002","1619850380","20000","OTPK","OTPK","OP","--"
"13:15:05 ET","0.0002","5000000","0.0001","0.0002","1619850380","30000","OTPK","OTPK","OP","--"
"13:15:03 ET","0.0002","10000","0.0001","0.0002","1619850380","30000","OTPK","OTPK","OP","--"
"13:14:50 ET","0.0002","100000","0.0001","0.0002","1619850380","10000","OTPK","OTPK","OP","--"
"13:14:46 ET","0.0002","5915000","0.0002","0.0003","5915000","163152545","OTPK","OTPK","OP","--"
"13:14:39 ET","0.0002","1745000","0.0002","0.0003","35915000","163152545","OTPK","OTPK","OP","--"
"13:14:39 ET","0.0002","2000000","0.0002","0.0003","35915000","163152545","OTPK","OTPK","OP","--"
"13:14:32 ET","0.0002","22828266","0.0002","0.0003","86543344","163152545","OTPK","OTPK","OP","--"
"13:08:04 ET","0.0003","4000000","0.0002","0.0003","61243344","166152546","OTPK","OTPK","OP","--"
"13:05:13 ET","0.0003","2000000","0.0002","0.0003","49243344","163152546","OTPK","OTPK","OP","--"
"13:03:48 ET","0.0003","5000000","0.0002","0.0003","6743266","168152546","OTPK","OTPK","OP","--"
"13:03:39 ET","0.0002","4171734","0.0001","0.0002","1199287330","4171734","OTPK","OTPK","OP","--"
"13:03:17 ET","0.0002","20000","0.0001","0.0002","1628850380","4191734","OTPK","OTPK","OP","--"
"13:02:42 ET","0.0002","4000000","0.0001","0.0002","1628350380","5000000","OTPK","OTPK","OP","--"
"13:02:39 ET","0.0002","10000","0.0001","0.0002","1618350380","5000000","OTPK","OTPK","OP","--"
"13:02:16 ET","0.0002","808266","0.0001","0.0002","1618350380","18245078","OTPK","OTPK","OP","--"
"13:02:13 ET","0.0002","39211734","0.0001","0.0002","1618350380","57456812","OTPK","OTPK","OP","--"
"13:00:36 ET","0.0002","800000","0.0001","0.0002","1591350380","58256812","OTPK","OTPK","OP","--"
"13:00:31 ET","0.0002","2200000","0.0001","0.0002","1589350380","60456812","OTPK","OTPK","OP","--"
"13:00:26 ET","0.0002","800000","0.0001","0.0002","1589350380","61256812","OTPK","OTPK","OP","--"
"13:00:21 ET","0.0002","1559998","0.0001","0.0002","1589350380","57816810","OTPK","OTPK","OP","--"
"13:00:16 ET","0.0002","2000000","0.0001","0.0002","1589350380","89816810","OTPK","OTPK","OP","--"
"13:00:15 ET","0.0002","34428268","0.0001","0.0002","1589350380","94245078","OTPK","OTPK","OP","--"
"13:00:12 ET","0.0002","1000000","0.0001","0.0002","1589350380","91500078","OTPK","OTPK","OP","--"
"13:00:12 ET","0.0002","2000000","0.0001","0.0002","1589350380","93500078","OTPK","OTPK","OP","--"
"13:00:07 ET","0.0002","2000000","0.0001","0.0002","1589350380","95500078","OTPK","OTPK","OP","--"
"13:00:01 ET","0.0002","50068244","0.0002","0.0003","65496512","154825563","OTPK","OTPK","OP","--"
"13:00:00 ET","0.0002","999999","0.0002","0.0003","75496512","154825563","OTPK","OTPK","OP","--"
"13:00:00 ET","0.0002","1000000","0.0002","0.0003","75496512","154825563","OTPK","OTPK","OP","--"
"13:00:00 ET","0.0002","5000000","0.0002","0.0003","75496512","154825563","OTPK","OTPK","OP","--"
"13:00:00 ET","0.0002","1","0.0002","0.0003","75496512","154825563","OTPK","OTPK","OP","--"
"12:59:58 ET","0.0002","5000000","0.0002","0.0003","98856509","154825563","OTPK","OTPK","OP","--"
"12:59:56 ET","0.0002","15571732","0.0002","0.0003","109688244","161825563","OTPK","OTPK","OP","--"
"12:59:56 ET","0.0002","10000000","0.0002","0.0003","109688244","161825563","OTPK","OTPK","OP","--"
"12:59:56 ET","0.0002","3620000","0.0002","0.0003","109688244","161825563","OTPK","OTPK","OP","--"
"12:59:54 ET","0.0002","999998","0.0002","0.0003","119688244","161825563","OTPK","OTPK","OP","--"
"12:59:54 ET","0.0002","2500000","0.0002","0.0003","119688244","161825563","OTPK","OTPK","OP","--"
"12:59:54 ET","0.0002","1500002","0.0002","0.0003","119688244","161825563","OTPK","OTPK","OP","--"
"12:59:53 ET","0.0002","9999999","0.0002","0.0003","119688244","161825563","OTPK","OTPK","OP","--"
"12:59:42 ET","0.0002","61980000","0.0002","0.0003","217528319","166825563","OTPK","OTPK","OP","--"
"12:34:18 ET","0.0003","1310000","0.0002","0.0003","216528319","168135563","OTPK","OTPK","OP","--"
"12:15:17 ET","0.0003","20000","0.0002","0.0003","212528319","168155563","OTPK","OTPK","OP","--"
"12:14:48 ET","0.0002","1000000","0.0002","0.0003","213528319","166775563","OTPK","OTPK","OP","--"
"12:07:56 ET","0.0002","500000","0.0002","0.0003","214028319","167775563","OTPK","OTPK","OP","--"
"11:55:22 ET","0.0003","420000","0.0002","0.0003","213228319","136149991","OTPK","OTPK","OP","--"
"11:53:26 ET","0.0003","1554422","0.0002","0.0003","213228319","130149991","OTPK","OTPK","OP","--"
"11:53:26 ET","0.0003","1278913","0.0002","0.0003","213228319","130149991","OTPK","OTPK","OP","--"
"11:52:08 ET","0.0003","9999999","0.0002","0.0003","155228319","130149991","OTPK","OTPK","OP","--"
"11:40:23 ET","0.0003","500000","0.0002","0.0003","230228319","156078897","OTPK","OTPK","OP","--"
"11:40:04 ET","0.0003","500000","0.0002","0.0003","230228319","156078897","OTPK","OTPK","OP","--"
"11:25:09 ET","0.0003","257666","0.0002","0.0003","230238319","156836563","OTPK","OTPK","OP","--"
"11:19:53 ET","0.0003","2764240","0.0002","0.0003","223238319","159600803","OTPK","OTPK","OP","--"
"10:37:15 ET","0.0003","1000000","0.0002","0.0003","233238319","128221897","OTPK","OTPK","OP","--"
"10:30:21 ET","0.0003","3000000","0.0002","0.0003","233238319","128221897","OTPK","OTPK","OP","--"
"10:14:17 ET","0.0003","1000000","0.0002","0.0003","231238319","163500804","OTPK","OTPK","OP","--"
"09:53:01 ET","0.0003","9999","0.0002","0.0003","216238322","124121897","OTPK","OTPK","OP","--"
"09:52:40 ET","0.0003","150000","0.0002","0.0003","216238322","158660803","OTPK","OTPK","OP","--"
"09:50:36 ET","0.0003","4211089","0.0002","0.0003","191238322","124271897","OTPK","OTPK","OP","--"
"09:50:36 ET","0.0003","4955577","0.0002","0.0003","191238322","124271897","OTPK","OTPK","OP","--"
"09:48:51 ET","0.0003","50000","0.0002","0.0003","191672322","167827469","OTPK","OTPK","OP","--"
"09:45:14 ET","0.0003","300001","0.0002","0.0003","191672322","124271897","OTPK","OTPK","OP","--"
"09:45:14 ET","0.0003","999999","0.0002","0.0003","191672322","124271897","OTPK","OTPK","OP","--"
"09:45:14 ET","0.0003","700000","0.0002","0.0003","191672322","124271897","OTPK","OTPK","OP","--"
"09:30:00 ET","0.0003","133333","0.0002","0.0003","30000","20000","OTPK","OTPK","OP","--"
"09:30:00 ET","0.0002","380000","0.0002","0.0003","30000","20000","OTPK","OTPK","OP","--"
"09:30:00 ET","0.0002","20000","0.0002","0.0003","30000","20000","OTPK","OTPK","OP","--"
"","","","","","","","","","",""
