Time & Sales
ANDI
09/18/2019
Hours: All
Price: All
Exch: All
Size: All
09/24/2019 09:55:19 AM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:44:45 ET","0.0003","4638333","0.0002","0.0003","157787030","4638333","OTPK","OTPK","OP","--"
"14:30:42 ET","0.0002","391380","0.0002","0.0003","148058410","4638333","OTPK","OTPK","OP","--"
"14:16:11 ET","0.0003","223333","0.0002","0.0003","148058410","4861666","OTPK","OTPK","OP","--"
"13:56:10 ET","0.0003","5000","0.0002","0.0003","149058410","4866666","OTPK","OTPK","OP","--"
"13:01:54 ET","0.0003","20000","0.0002","0.0003","148558410","5016666","OTPK","OTPK","OP","--"
"13:01:54 ET","0.0003","150000","0.0002","0.0003","148558410","5016666","OTPK","OTPK","OP","--"
"12:55:15 ET","0.0002","50000","0.0002","0.0003","141708411","5016666","OTPK","OTPK","OP","--"
"10:10:23 ET","0.0003","1700000","0.0002","0.0003","150608410","6666666","OTPK","OTPK","OP","--"
"10:01:23 ET","0.0002","33670","0.0002","0.0003","150642080","6666666","OTPK","OTPK","OP","--"
"09:39:12 ET","0.0003","233333","0.0002","0.0003","150142080","6899999","OTPK","OTPK","OP","--"
"09:37:42 ET","0.0003","100001","0.0002","0.0003","150142080","7000000","OTPK","OTPK","OP","--"
"09:30:03 ET","0.0002","794088","0.0002","0.0003","128566582","7000000","OTPK","OTPK","OP","--"
"09:30:03 ET","0.0002","205912","0.0002","0.0003","128566582","7000000","OTPK","OTPK","OP","--"
"","","","","","","","","","",""
