Time & Sales
ANDI
09/24/2019
Hours: All
Price: All
Exch: All
Size: All
10/02/2019 05:42:33 PM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:44:45 ET","0.0003","9999","0.0002","0.0003","184697949","14807132","OTPK","OTPK","OP","--"
"15:41:34 ET","0.0002","1500000","0.0002","0.0003","186197949","13307132","OTPK","OTPK","OP","--"
"14:35:43 ET","0.0002","1000","0.0002","0.0003","180098950","13307132","OTPK","OTPK","OP","--"
"10:01:23 ET","0.0002","11958","0.0002","0.0003","179810907","13307132","OTPK","OTPK","OP","--"
"","","","","","","","","","",""
