Time & Sales
ANDI
09/26/2019
Hours: All
Price: All
Exch: All
Size: All
10/02/2019 05:41:59 PM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"14:47:21 ET","0.0002","1666666","0.0002","0.0003","196362947","4446581","OTPK","OTPK","OP","--"
"14:08:28 ET","0.0002","3415000","0.0002","0.0004","186928950","56283250","OTPK","OTPK","OP","--"
"14:08:28 ET","0.0003","10000","0.0002","0.0004","186928950","56283250","OTPK","OTPK","OP","--"
"14:08:27 ET","0.0003","75000","0.0003","0.0004","85000","56283250","OTPK","OTPK","OP","--"
"12:53:37 ET","0.0004","20000","0.0003","0.0004","10000","47541300","OTPK","OTPK","OP","--"
"11:49:58 ET","0.0003","9999","0.0002","0.0004","193362947","47561300","OTPK","OTPK","OP","--"
"11:27:24 ET","0.0004","441665","0.0002","0.0004","193362947","32193828","OTPK","OTPK","OP","--"
"11:27:22 ET","0.0003","538334","0.0002","0.0003","193362947","538334","OTPK","OTPK","OP","--"
"11:27:15 ET","0.0003","20000","0.0002","0.0003","193362947","538334","OTPK","OTPK","OP","--"
"10:19:56 ET","0.0003","1461666","0.0002","0.0003","185513950","10000","OTPK","OTPK","OP","--"
"10:16:51 ET","0.0003","800","0.0003","0.0004","1461666","42128216","OTPK","OTPK","OP","--"
"","","","","","","","","","",""
