Time & Sales
BNGI
02/05/2020
Hours: All
Price: All
Exch: All
Size: All
02/06/2020 04:03:41 PM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:48:24 ET","0.0001","3000000","0.0001","0.0001","10000","105039481","OTPK","OTPK","OP","--"
"15:11:38 ET","0.0001","6600000","0.0001","0.0001","10000","111639481","OTPK","OTPK","OP","--"
"14:58:13 ET","0.0001","350000","0.0001","0.0001","10000","111639481","OTPK","OTPK","OP","--"
"14:43:11 ET","0.0001","425000","0.0001","0.0001","10000","112414481","OTPK","OTPK","OP","--"
"14:23:33 ET","0.0001","50000","0.0001","0.0001","10000","112414481","OTPK","OTPK","OP","--"
"14:20:51 ET","0.0001","2000000","0.0001","0.0001","10000","114464481","OTPK","OTPK","OP","--"
"14:17:08 ET","0.0001","4000000","0.0001","0.0001","10000","118464481","OTPK","OTPK","OP","--"
"14:16:14 ET","0.0001","1750000","0.0001","0.0001","10000","120214481","OTPK","OTPK","OP","--"
"14:13:38 ET","0.0001","1000000","0.0001","0.0001","10000","121214481","OTPK","OTPK","OP","--"
"14:11:32 ET","0.0001","1000000","0.0001","0.0001","10000","122214481","OTPK","OTPK","OP","--"
"14:07:52 ET","0.0001","1000000","0.0001","0.0001","10000","123214481","OTPK","OTPK","OP","--"
"13:55:54 ET","0.0001","2000000","0.0001","0.0001","10000","125214481","OTPK","OTPK","OP","--"
"13:53:37 ET","0.0001","4000000","0.0001","0.0001","10000","129214481","OTPK","OTPK","OP","--"
"13:52:26 ET","0.0001","1000000","0.0001","0.0001","10000","130214481","OTPK","OTPK","OP","--"
"13:45:28 ET","0.0001","1520000","0.0001","0.0001","10000","131034481","OTPK","OTPK","OP","--"
"13:42:09 ET","0.0001","27000000","0.0001","0.0001","10000","158034481","OTPK","OTPK","OP","--"
"13:36:56 ET","0.0001","1000000","0.0001","0.0001","10000","159034481","OTPK","OTPK","OP","--"
"13:34:19 ET","0.0001","1090000","0.0001","0.0001","10000","160124481","OTPK","OTPK","OP","--"
"13:30:08 ET","0.0001","1500000","0.0001","0.0001","10000","161624481","OTPK","OTPK","OP","--"
"13:21:59 ET","0.0001","1000000","0.0001","0.0001","10000","162624481","OTPK","OTPK","OP","--"
"13:19:17 ET","0.0001","985500","0.0001","0.0001","10000","163609981","OTPK","OTPK","OP","--"
"13:08:09 ET","0.0001","380500","0.0001","0.0001","10000","163490481","OTPK","OTPK","OP","--"
"13:06:06 ET","0.0001","3000000","0.0001","0.0001","10000","166490481","OTPK","OTPK","OP","--"
"13:01:07 ET","0.0001","5000000","0.0001","0.0001","10000","171490481","OTPK","OTPK","OP","--"
"12:45:23 ET","0.0001","4930800","0.0001","0.0001","10000","156421281","OTPK","OTPK","OP","--"
"12:41:59 ET","0.0001","6555555","0.0001","0.0001","10000","162976836","OTPK","OTPK","OP","--"
"12:41:00 ET","0.0001","1240000","0.0001","0.0001","10000","164216836","OTPK","OTPK","OP","--"
"12:38:40 ET","0.0001","5000000","0.0001","0.0001","10000","69216836","OTPK","OTPK","OP","--"
"12:36:12 ET","0.0001","5000000","0.0001","0.0001","10000","74216836","OTPK","OTPK","OP","--"
"12:34:22 ET","0.0001","1000000","0.0001","0.0001","10000","75216836","OTPK","OTPK","OP","--"
"12:27:41 ET","0.0001","20000000","0.0001","0.0001","10000","95216836","OTPK","OTPK","OP","--"
"12:24:38 ET","0.0001","20000000","0.0001","0.0001","10000","95216836","OTPK","OTPK","OP","--"
"12:24:04 ET","0.0001","161900","0.0001","0.0001","10000","95378736","OTPK","OTPK","OP","--"
"12:12:05 ET","0.0001","2000000","0.0001","0.0001","10000","13378736","OTPK","OTPK","OP","--"
"12:09:56 ET","0.0001","2000000","0.0001","0.0001","10000","15378736","OTPK","OTPK","OP","--"
"12:09:01 ET","0.0001","1900000","0.0001","0.0001","10000","17278736","OTPK","OTPK","OP","--"
"12:07:26 ET","0.0001","2000000","0.0001","0.0001","10000","19278736","OTPK","OTPK","OP","--"
"12:04:40 ET","0.0001","10000000","0.0001","0.0001","10000","29278736","OTPK","OTPK","OP","--"
"12:04:40 ET","0.0001","1000000","0.0001","0.0001","10000","30278736","OTPK","OTPK","OP","--"
"12:04:27 ET","0.0001","1000000","0.0001","0.0001","10000","31278736","OTPK","OTPK","OP","--"
"12:04:23 ET","0.0001","4000000","0.0001","0.0001","10000","31278736","OTPK","OTPK","OP","--"
"12:04:05 ET","0.0001","5000000","0.0001","0.0001","10000","44278736","OTPK","OTPK","OP","--"
