Time & Sales
BNGI
02/07/2020
Hours: All
Price: All
Exch: All
Size: All
02/07/2020 09:35:08 AM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"09:30:16 ET","0.0001","490000","0.00","0.0001","0","42424465","--","OTPK","OP","--"
"09:30:07 ET","0.0001","10000","0.00","0.0001","0","3010000","--","OTPK","OP","--"
"09:30:02 ET","0.0001","9000000","0.00","0.0001","0","3010000","--","OTPK","OP","--"
"09:30:02 ET","0.0001","1000000","0.00","0.0001","0","3010000","--","OTPK","OP","--"
"09:30:02 ET","0.0001","500000","0.00","0.0001","0","3010000","--","OTPK","OP","--"
"","","","","","","","","","",""
