Time & Sales
BNGI
11/01/2019
Hours: All
Price: All
Exch: All
Size: All
11/08/2019 10:34:04 AM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:44:51 ET","0.0002","104950","0.0001","0.0002","1730741380","82606410","OTPK","OTPK","OP","--"
"15:28:06 ET","0.0002","9999","0.0001","0.0002","1730741380","82606410","OTPK","OTPK","OP","--"
"15:09:43 ET","0.0002","106630","0.0001","0.0002","1732241380","82606410","OTPK","OTPK","OP","--"
"15:09:43 ET","0.0002","500000","0.0001","0.0002","1732241380","82606410","OTPK","OTPK","OP","--"
"15:09:43 ET","0.0002","3198000","0.0001","0.0002","1732241380","82606410","OTPK","OTPK","OP","--"
"15:09:43 ET","0.0002","2595370","0.0001","0.0002","1732241380","82606410","OTPK","OTPK","OP","--"
"14:31:30 ET","0.0002","100000","0.0001","0.0002","1729641380","82606410","OTPK","OTPK","OP","--"
"13:58:30 ET","0.0002","20000000","0.0001","0.0002","1727641380","128400880","OTPK","OTPK","OP","--"
"13:21:45 ET","0.0002","130000","0.0001","0.0002","1727641380","102606410","OTPK","OTPK","OP","--"
"12:59:02 ET","0.0001","6989516","0.0001","0.0002","1736174880","121540114","OTPK","OTPK","OP","--"
"12:59:02 ET","0.0001","1543984","0.0001","0.0002","1736174880","121540114","OTPK","OTPK","OP","--"
"12:49:01 ET","0.0001","10000000","0.0001","0.0002","1744674880","83240114","OTPK","OTPK","OP","--"
"12:25:38 ET","0.0002","250000","0.0001","0.0002","1744674880","83490114","OTPK","OTPK","OP","--"
"12:21:50 ET","0.0002","190000","0.0001","0.0002","1744674880","83680114","OTPK","OTPK","OP","--"
"11:22:52 ET","0.0002","1250","0.0001","0.0002","1744274880","55305644","OTPK","OTPK","OP","--"
"11:21:21 ET","0.0001","1250","0.0001","0.0002","1744276130","82931364","OTPK","OTPK","OP","--"
"11:18:32 ET","0.0002","50000","0.0001","0.0002","1742776130","55305644","OTPK","OTPK","OP","--"
"11:02:52 ET","0.0001","500000","0.0001","0.0002","1740276130","82981364","OTPK","OTPK","OP","--"
"10:43:43 ET","0.0002","1000000","0.0001","0.0002","1740276130","82981364","OTPK","OTPK","OP","--"
"10:22:58 ET","0.0002","150000","0.0001","0.0002","1740376130","83131364","OTPK","OTPK","OP","--"
"10:10:27 ET","0.0002","1000","0.0001","0.0002","1739376130","83132364","OTPK","OTPK","OP","--"
"09:59:39 ET","0.0001","3667000","0.0001","0.0002","1742973130","76387364","OTPK","OTPK","OP","--"
"09:31:02 ET","0.0002","15000","0.0001","0.0002","1741973130","43711644","OTPK","OTPK","OP","--"
"09:30:01 ET","0.0002","2000000","0.0001","0.0002","4780000","7520000","OTPK","OTPK","OP","--"
"09:30:00 ET","0.0002","15025","0.0001","0.0002","4780000","7520000","OTPK","OTPK","OP","--"
"09:30:00 ET","0.0002","300000","0.0001","0.0002","4780000","7520000","OTPK","OTPK","OP","--"
"","","","","","","","","","",""
