Time & Sales
BNGI
11/12/2019
Hours: All
Price: All
Exch: All
Size: All
11/12/2019 05:19:07 PM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:35:19 ET","0.0001","500000","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
"15:28:40 ET","0.0001","1000000","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
"15:08:45 ET","0.0001","10000","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
"15:08:45 ET","0.0001","940000","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
"14:52:23 ET","0.0001","450000","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
"14:41:00 ET","0.0001","10000","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
"14:35:27 ET","0.0001","100000","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
"14:35:24 ET","0.0001","100000","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
"13:12:12 ET","0.0001","490000","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
"13:12:02 ET","0.0001","10000","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
"13:11:59 ET","0.0001","900000","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
"13:11:58 ET","0.0001","559999","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
"13:11:53 ET","0.0001","340001","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
"13:09:36 ET","0.0001","900000","0.0001","0.0001","10000","712780","OTPK","OTPK","OP","--"
"12:48:26 ET","0.0001","2160000","0.0001","0.0001","10000","2872780","OTPK","OTPK","OP","--"
"12:48:17 ET","0.0001","2840000","0.0001","0.0001","10000","5712780","OTPK","OTPK","OP","--"
"12:45:30 ET","0.0001","1000000","0.0001","0.0001","10000","6712780","OTPK","OTPK","OP","--"
"12:44:07 ET","0.0001","9999","0.0001","0.0001","10000","6712780","OTPK","OTPK","OP","--"
"12:17:01 ET","0.0001","150000","0.0001","0.0001","10000","6472779","OTPK","OTPK","OP","--"
"12:15:13 ET","0.0001","217221","0.0001","0.0001","10000","6590000","OTPK","OTPK","OP","--"
"12:15:05 ET","0.0001","400000","0.0001","0.0001","10000","6590000","OTPK","OTPK","OP","--"
"12:03:36 ET","0.0001","500000","0.0001","0.0001","10000","6590000","OTPK","OTPK","OP","--"
"11:51:42 ET","0.0001","10000","0.0001","0.0001","10000","6600000","OTPK","OTPK","OP","--"
"11:46:13 ET","0.0001","500000","0.0001","0.0001","10000","7100000","OTPK","OTPK","OP","--"
"11:35:58 ET","0.0001","250000","0.0001","0.0001","10000","4000000","OTPK","OTPK","OP","--"
"11:24:50 ET","0.0001","500000","0.0001","0.0001","10000","4000000","OTPK","OTPK","OP","--"
"11:21:34 ET","0.0001","1000000","0.0001","0.0001","10000","5000000","OTPK","OTPK","OP","--"
"11:15:58 ET","0.0001","500000","0.0001","0.0001","10000","5890000","OTPK","OTPK","OP","--"
"11:14:25 ET","0.0001","500000","0.0001","0.0001","10000","6390000","OTPK","OTPK","OP","--"
"11:10:09 ET","0.0001","2000000","0.0001","0.0001","10000","8000000","OTPK","OTPK","OP","--"
"10:57:42 ET","0.0001","2000000","0.0001","0.0001","10000","10000000","OTPK","OTPK","OP","--"
"10:57:34 ET","0.0001","3000000","0.0001","0.0001","10000","13000000","OTPK","OTPK","OP","--"
"10:54:56 ET","0.0001","500000","0.0001","0.0001","10000","13000000","OTPK","OTPK","OP","--"
"10:51:23 ET","0.0001","1000000","0.0001","0.0001","10000","13000000","OTPK","OTPK","OP","--"
"10:49:31 ET","0.0001","2000000","0.0001","0.0001","10000","13000000","OTPK","OTPK","OP","--"
"10:49:24 ET","0.0001","3000000","0.0001","0.0001","10000","16000000","OTPK","OTPK","OP","--"
"10:46:12 ET","0.0001","20000000","0.0001","0.0001","10000","36000000","OTPK","OTPK","OP","--"
"10:28:52 ET","0.0001","1000000","0.0001","0.0001","10000","8510000","OTPK","OTPK","OP","--"
"10:21:58 ET","0.0001","53650","0.0001","0.0001","10000","2813650","OTPK","OTPK","OP","--"
"10:21:54 ET","0.0001","8000000","0.0001","0.0001","10000","2813650","OTPK","OTPK","OP","--"
"10:19:33 ET","0.0001","5000000","0.0001","0.0001","10000","2813650","OTPK","OTPK","OP","--"
"10:14:02 ET","0.0001","2000000","0.0001","0.0001","10000","4813650","OTPK","OTPK","OP","--"
"10:06:28 ET","0.0001","250000","0.0001","0.0001","10000","3010000","OTPK","OTPK","OP","--"
"10:06:25 ET","0.0001","1399","0.0001","0.0001","10000","3010000","OTPK","OTPK","OP","--"
"10:06:19 ET","0.0001","5000000","0.0001","0.0001","10000","3010000","OTPK","OTPK","OP","--"
"10:02:42 ET","0.0001","1000000","0.0001","0.0001","10000","10000","OTPK","OTPK","OP","--"
