Time & Sales
BNGI
12/20/2019
Hours: All
Price: All
Exch: All
Size: All
01/02/2020 11:24:55 AM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"12:37:47 ET","0.0001","850000","0.00","0.0001","0","32141104","--","OTPK","OP","--"
"12:37:44 ET","0.0001","850000","0.00","0.0001","0","32141104","--","OTPK","OP","--"
"12:37:41 ET","0.0001","850000","0.00","0.0001","0","32141104","--","OTPK","OP","--"
"","","","","","","","","","",""
