"Count","Date","Avg Price","Volume","Buy","Sell","???","Volume ($)","Buy ($)","Sell ($)","??? ($)","Buy (%)","Sell (%)","??? (%)","Dollar-Buy (%)","Dollar-Sell (%)","Dollar-??? (%)"
1,10/04/2019,0.00060000,625,0,0,625,0.3750,0,0,0.3750,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
2,10/07/2019,0.00060000,2,0,0,2,0.0012,0,0,0.0012,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
3,10/08/2019,0.00062216,902498,0,0,902498,561.4988,0,0,561.4988,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
4,10/09/2019,0.00130053,12018197,0,0,12018197,15629.9667,0,0,15629.9667,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
5,10/10/2019,0.00394982,78450171,0,0,78450171,309863.6962,0,0,309863.6962,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
6,10/11/2019,0.00298345,49400752,0,0,49400752,147384.7144,0,0,147384.7144,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
7,10/14/2019,0.00294865,14280403,0,0,14280403,42107.8841,0,0,42107.8841,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
8,10/15/2019,0.00192643,20882560,0,0,20882560,40228.7765,0,0,40228.7765,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
9,10/16/2019,0.00264515,11952104,0,0,11952104,31615.0679,0,0,31615.0679,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
10,10/17/2019,0.00202129,8349620,0,0,8349620,16876.9955,0,0,16876.9955,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
11,10/18/2019,0.00206056,12670180,0,0,12670180,26107.7077,0,0,26107.7077,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
12,10/21/2019,0.00222223,5390427,0,0,5390427,11978.7794,0,0,11978.7794,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
13,10/22/2019,0.00231945,5421609,0,0,5421609,12575.1588,0,0,12575.1588,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
14,10/23/2019,0.00205940,6858070,0,0,6858070,14123.4920,0,0,14123.4920,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
15,10/24/2019,0.00201417,5657044,0,0,5657044,11394.2677,0,0,11394.2677,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
16,10/25/2019,0.00195414,3429382,0,0,3429382,6701.4876,0,0,6701.4876,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
17,10/28/2019,0.00200000,69000,0,0,69000,138.000,0,0,138.000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000
