Time & Sales
DBMM
10/08/2019
Hours: All
Price: All
Exch: All
Size: All
10/21/2019 12:08:58 PM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:13:55 ET","0.0006","200000","","","--","--","--","--","OP","--"
"13:33:11 ET","0.0006","599998","","","--","--","--","--","OP","--"
"12:01:08 ET","0.0006","2500","","","--","--","--","--","OP","--"
"10:43:25 ET","0.0008","100000","","","--","--","--","--","OP","--"
"","","","","","","","","","",""
