Time & Sales
DBMM
10/17/2019
Hours: All
Price: All
Exch: All
Size: All
10/21/2019 12:11:12 PM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:53:42 ET","0.0019","600","","","--","--","--","--","OP","--"
"15:53:28 ET","0.0018","55555","","","--","--","--","--","OP","--"
"15:42:21 ET","0.0018","8000","","","--","--","--","--","OP","--"
"15:39:57 ET","0.0018","10000","","","--","--","--","--","OP","--"
"15:37:21 ET","0.0019","32000","","","--","--","--","--","OP","--"
"15:37:18 ET","0.0018","18000","","","--","--","--","--","OP","--"
"15:33:40 ET","0.0018","50000","","","--","--","--","--","OP","--"
"15:33:29 ET","0.0018","10000","","","--","--","--","--","OP","--"
"15:28:13 ET","0.0019","150000","","","--","--","--","--","OP","--"
"15:28:03 ET","0.0019","300000","","","--","--","--","--","OP","--"
"15:28:00 ET","0.0019","10000","","","--","--","--","--","OP","--"
"15:27:50 ET","0.0019","10000","","","--","--","--","--","OP","--"
"15:27:40 ET","0.0019","10000","","","--","--","--","--","OP","--"
"15:27:30 ET","0.0019","10000","","","--","--","--","--","OP","--"
"15:27:20 ET","0.0019","10000","","","--","--","--","--","OP","--"
"15:22:30 ET","0.0019","100000","","","--","--","--","--","OP","--"
"15:20:59 ET","0.0019","186315","","","--","--","--","--","OP","--"
"15:16:38 ET","0.0019","37800","","","--","--","--","--","OP","--"
"15:14:37 ET","0.0019","100000","","","--","--","--","--","OP","--"
"15:05:05 ET","0.0019","20000","","","--","--","--","--","OP","--"
"14:30:39 ET","0.002","100000","","","--","--","--","--","OP","--"
"14:27:58 ET","0.0019","700000","","","--","--","--","--","OP","--"
"14:27:58 ET","0.0018","100000","","","--","--","--","--","OP","--"
"14:27:48 ET","0.0018","500000","","","--","--","--","--","OP","--"
"14:26:07 ET","0.0018","300000","","","--","--","--","--","OP","--"
"14:03:00 ET","0.0018","32500","","","--","--","--","--","OP","--"
"13:59:12 ET","0.002","25000","","","--","--","--","--","OP","--"
"13:40:42 ET","0.002","10000","","","--","--","--","--","OP","--"
"13:40:32 ET","0.002","10000","","","--","--","--","--","OP","--"
"13:40:22 ET","0.002","10000","","","--","--","--","--","OP","--"
"13:40:12 ET","0.002","10000","","","--","--","--","--","OP","--"
"13:40:02 ET","0.002","10000","","","--","--","--","--","OP","--"
"13:35:16 ET","0.0018","100000","","","--","--","--","--","OP","--"
"13:25:00 ET","0.002","345090","","","--","--","--","--","OP","--"
