Time & Sales
DBMM
10/22/2019
Hours: All
Price: All
Exch: All
Size: All
10/23/2019 06:36:43 AM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:58:41 ET","0.0023","168600","","","--","--","--","--","OP","--"
"15:58:35 ET","0.0022","66400","","","--","--","--","--","OP","--"
"15:35:51 ET","0.0023","60000","","","--","--","--","--","OP","--"
"15:35:44 ET","0.0023","10000","","","--","--","--","--","OP","--"
"15:33:24 ET","0.0023","145000","","","--","--","--","--","OP","--"
"15:28:31 ET","0.0021","30000","","","--","--","--","--","OP","--"
"15:21:55 ET","0.0021","40000","","","--","--","--","--","OP","--"
"14:55:31 ET","0.002","304876","","","--","--","--","--","OP","--"
"14:52:31 ET","0.002","80000","","","--","--","--","--","OP","--"
"14:42:08 ET","0.002","165000","","","--","--","--","--","OP","--"
"14:42:06 ET","0.002","10000","","","--","--","--","--","OP","--"
"14:41:56 ET","0.002","10000","","","--","--","--","--","OP","--"
"14:41:46 ET","0.002","10000","","","--","--","--","--","OP","--"
"14:24:44 ET","0.0021","100000","","","--","--","--","--","OP","--"
"14:02:56 ET","0.0023","975","","","--","--","--","--","OP","--"
"13:40:24 ET","0.0023","5000","","","--","--","--","--","OP","--"
"13:39:52 ET","0.002","7","","","--","--","--","--","OP","--"
"13:25:12 ET","0.0023","39718","","","--","--","--","--","OP","--"
"13:25:04 ET","0.0023","10000","","","--","--","--","--","OP","--"
"13:12:22 ET","0.0023","65218","","","--","--","--","--","OP","--"
"13:12:14 ET","0.0023","250000","","","--","--","--","--","OP","--"
"12:55:42 ET","0.0023","30000","","","--","--","--","--","OP","--"
"12:55:17 ET","0.002","41000","","","--","--","--","--","OP","--"
"12:55:16 ET","0.002","50000","","","--","--","--","--","OP","--"
"12:29:56 ET","0.002","500000","","","--","--","--","--","OP","--"
"11:50:38 ET","0.0024","96000","","","--","--","--","--","OP","--"
"11:47:00 ET","0.0025","112500","","","--","--","--","--","OP","--"
"11:30:32 ET","0.0025","100000","","","--","--","--","--","OP","--"
"11:24:32 ET","0.0025","46000","","","--","--","--","--","OP","--"
"11:23:58 ET","0.0025","4000","","","--","--","--","--","OP","--"
"11:23:56 ET","0.0025","136000","","","--","--","--","--","OP","--"
"11:23:54 ET","0.0025","10000","","","--","--","--","--","OP","--"
"11:21:56 ET","0.0025","42000","","","--","--","--","--","OP","--"
"10:40:27 ET","0.0024","190000","","","--","--","--","--","OP","--"
"10:39:56 ET","0.0025","500000","","","--","--","--","--","OP","--"
"10:37:41 ET","0.0025","152000","","","--","--","--","--","OP","--"
"10:37:38 ET","0.0025","20000","","","--","--","--","--","OP","--"
"10:37:37 ET","0.0025","150000","","","--","--","--","--","OP","--"
"10:37:37 ET","0.0025","551315","","","--","--","--","--","OP","--"
"10:37:33 ET","0.0024","660000","","","--","--","--","--","OP","--"
"10:37:31 ET","0.0024","90000","","","--","--","--","--","OP","--"
"10:37:27 ET","0.0024","280000","","","--","--","--","--","OP","--"
"10:37:21 ET","0.0024","10000","","","--","--","--","--","OP","--"
"10:37:18 ET","0.0024","10000","","","--","--","--","--","OP","--"
"10:37:08 ET","0.0024","10000","","","--","--","--","--","OP","--"
"10:36:58 ET","0.0024","10000","","","--","--","--","--","OP","--"
"10:36:48 ET","0.0024","10000","","","--","--","--","--","OP","--"
"10:36:38 ET","0.0024","10000","","","--","--","--","--","OP","--"
"10:25:58 ET","0.002","20000","","","--","--","--","--","OP","--"
"09:40:22 ET","0.0024","10000","","","--","--","--","--","OP","--"
"","","","","","","","","","",""
