Time & Sales
FITX
12/04/2019
Hours: All
Price: All
Exch: All
Size: All
12/10/2019 05:16:08 PM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:21:39 ET","0.00","12800","","","--","--","--","--","OP","--"
"15:21:29 ET","0.00","200000","","","--","--","--","--","OP","--"
"15:21:18 ET","0.00","3500","","","--","--","--","--","OP","--"
"15:01:07 ET","0.0001","100000","","","--","--","--","--","OP","--"
"","","","","","","","","","",""
