Time & Sales
GWRE
12/06/2019
Hours: All
Price: All
Exch: All
Size: All
12/10/2019 04:53:20 PM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"17:22:42 ET","110.77","12454","110.76","111.77","1","2","DEX","P","DF","--"
"17:11:53 ET","110.77","11","110.76","111.76","1","1","DEX","P","DF","--"
"17:11:53 ET","110.77","335","110.76","111.76","1","1","DEX","P","DF","--"
"17:11:17 ET","110.77","335","110.76","111.76","1","1","DEX","P","DF","--"
"16:57:04 ET","110.77","5301","110.76","111.76","1","1","DEX","P","DF","--"
"16:54:05 ET","110.77","3266","110.76","111.76","1","2","DEX","P","DF","--"
"16:05:44 ET","110.76","100","110.76","111.76","1","2","DEX","P","DF","T"
"16:04:20 ET","110.77","107","110.76","111.76","1","2","DEX","P","DF","T"
"16:04:20 ET","110.77","30900","110.76","111.76","1","2","DEX","P","DF","T"
"16:04:20 ET","110.77","47","110.76","111.76","1","2","DEX","P","DF","--"
"16:04:20 ET","110.77","18","110.76","111.76","1","2","DEX","P","DF","--"
"16:04:20 ET","110.77","9","110.76","111.76","1","2","DEX","P","DF","--"
"16:04:20 ET","110.77","22","110.76","111.76","1","2","DEX","P","DF","--"
"16:04:19 ET","110.77","21","110.76","111.76","1","2","DEX","P","DF","--"
"16:04:19 ET","110.77","7903","110.76","111.76","1","2","DEX","P","DF","T"
"16:04:09 ET","110.77","458","110.76","111.76","1","2","DEX","P","DF","T"
"16:02:37 ET","110.77","165","110.76","111.76","1","2","DEX","P","DF","T"
"16:02:33 ET","110.77","1873","110.76","111.76","1","2","DEX","P","DF","T"
"16:02:33 ET","110.77","3","110.76","111.76","1","2","DEX","P","DF","--"
"16:02:33 ET","110.77","886","110.76","111.76","1","2","DEX","P","DF","T"
"16:02:33 ET","110.77","1","110.76","111.76","1","2","DEX","P","DF","--"
"16:02:33 ET","110.77","1874","110.76","111.76","1","2","DEX","P","DF","T"
"16:02:33 ET","110.77","4120","110.76","111.76","1","2","DEX","P","DF","T"
"16:02:33 ET","110.77","3385","110.76","111.76","1","2","DEX","P","DF","T"
