Time & Sales
GWRE
12/12/2019
Hours: All
Price: All
Exch: All
Size: All
12/12/2019 11:30:13 AM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"11:29:50 ET","105.0823","200","104.91","104.98","2","4","N","TH","DF","--"
"11:29:49 ET","105.02","100","104.94","104.98","1","1","N","Z","DF","--"
"11:29:49 ET","104.95","26","104.94","104.98","1","1","N","Z","P","--"
"11:29:48 ET","104.98","9","104.94","104.98","1","1","N","Z","DF","--"
"11:29:48 ET","104.98","1","104.94","104.98","1","1","N","Z","DF","--"
"11:29:48 ET","104.95","5","104.94","104.98","1","1","DEA","Z","P","--"
"11:29:48 ET","104.95","34","104.94","104.98","1","1","DEA","Z","P","--"
"11:29:48 ET","104.95","14","104.94","104.98","1","1","DEA","Z","P","--"
"11:29:48 ET","104.95","21","104.95","104.98","1","1","P","Z","P","--"
"11:29:48 ET","105.01","54","104.95","104.99","1","1","P","Z","DF","--"
"11:29:48 ET","104.98","11","104.95","105.00","1","1","P","P","Z","--"
"11:29:48 ET","104.99","100","104.95","105.03","1","3","P","TH","TH","--"
"11:29:48 ET","105.00","1","104.95","105.03","1","3","P","TH","DEX","--"
"11:29:48 ET","105.00","200","104.99","105.03","1","1","TH","Z","DEX","--"
"11:29:48 ET","105.00","900","104.99","105.03","1","2","TH","P","DEX","--"
"11:29:48 ET","105.00","100","104.99","105.03","1","1","TH","P","DEX","--"
"11:29:48 ET","104.99","100","104.99","105.03","1","1","TH","P","N","--"
"11:29:48 ET","105.00","10","105.00","105.04","11","1","DEX","DEA","DEX","--"
"11:29:48 ET","105.00","8","105.00","105.04","12","1","DEX","DEA","DEX","--"
"11:29:48 ET","105.00","1","105.00","105.04","12","1","DEX","P","TH","--"
"11:29:48 ET","105.00","1","105.00","105.04","12","1","DEX","P","TH","--"
"11:29:48 ET","105.00","2","105.00","105.04","12","1","DEX","P","TH","--"
"11:29:48 ET","105.00","37","105.00","105.05","12","1","DEX","Z","DEX","--"
"11:29:48 ET","105.00","9","105.00","105.04","12","1","DEX","P","DEX","--"
"11:29:48 ET","105.02","10","105.00","105.04","12","1","DEX","P","B","--"
"11:29:48 ET","105.01","15","105.00","105.05","12","1","DEX","P","TH","--"
"11:29:48 ET","105.00","26","105.00","105.06","12","1","DEX","DEX","DEX","--"
"11:29:48 ET","105.00","60","105.00","105.06","12","1","DEX","DEX","N","--"
"11:29:48 ET","105.01","6","105.00","105.08","12","1","DEX","P","Z","--"
"11:29:48 ET","105.04","3","105.00","105.08","12","1","DEX","Z","Z","--"
"11:29:48 ET","105.00","40","105.00","105.09","12","3","DEX","N","N","--"
"11:29:48 ET","105.03","15","105.00","105.09","12","3","DEX","N","TH","--"
"11:29:48 ET","105.02","100","105.00","105.09","12","3","DEX","N","DEA","--"
"11:29:48 ET","105.03","10","105.00","105.09","12","3","DEX","N","B","--"
"11:29:48 ET","105.01","166","105.02","105.09","1","1","DEA","DEA","N","--"
"11:29:48 ET","105.02","100","105.02","105.09","1","1","DEA","DEA","N","--"
"11:29:48 ET","105.03","100","105.02","105.09","1","1","DEA","DEA","N","--"
"11:29:48 ET","105.07","82","105.02","105.10","2","2","N","N","TH","--"
"11:29:45 ET","105.0575","111","105.02","105.11","1","4","N","N","DF","--"
"11:29:40 ET","105.06","100","105.05","105.10","1","3","P","N","IX","--"
"11:29:40 ET","105.08","13","105.07","105.11","1","3","N","TH","N","--"
"11:29:40 ET","105.08","87","105.07","105.11","2","3","N","TH","N","--"
"11:29:34 ET","105.09","18","105.09","105.11","1","4","TH","TH","TH","--"
"11:29:34 ET","105.10","21","105.09","105.11","1","4","TH","TH","N","--"
"11:29:34 ET","105.10","100","105.09","105.11","1","4","TH","TH","N","--"
"11:29:34 ET","105.10","50","105.09","105.10","1","1","TH","N","DEX","--"
"11:29:34 ET","105.10","73","105.09","105.10","1","1","TH","N","TH","--"
