Time & Sales
GWRE
09/06/2019
Hours: All
Price: All
Exch: All
Size: All
09/13/2019 02:12:48 PM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"19:39:10 ET","109.49","250","108.80","109.62","24","2","DEX","TH","TH","--"
"19:28:27 ET","108.80","65","108.80","109.62","24","2","DEX","TH","DEX","--"
"19:28:27 ET","109.43","35","108.80","109.62","24","2","DEX","TH","DEX","--"
"18:10:59 ET","108.80","200","108.77","108.80","1","2","TH","DEX","DEX","--"
"18:10:57 ET","108.80","500","108.77","108.80","1","7","TH","DEX","DEX","--"
"18:10:57 ET","108.80","100","108.77","108.80","1","8","TH","DEX","DEX","--"
"18:10:55 ET","108.80","100","108.77","108.80","1","8","TH","DEX","DEX","--"
"18:10:51 ET","108.80","100","108.80","109.63","1","2","DEX","DEX","DEX","T"
"17:27:49 ET","109.30","100","108.80","109.63","1","2","DEX","DEX","DEX","--"
"17:27:47 ET","109.30","100","108.80","109.30","1","1","DEX","DEX","DEX","--"
"16:58:30 ET","109.9199","51","108.80","109.92","1","2","DEX","DEX","DF","--"
"16:58:30 ET","109.91","99","108.80","109.92","1","2","DEX","DEX","DEX","--"
"16:44:08 ET","109.41","4874","109.50","109.92","5","2","P","DEX","DF","--"
"16:42:24 ET","109.80","5","109.50","109.92","5","2","P","DEX","DEX","--"
"16:41:37 ET","109.41","1534","109.50","109.92","5","2","P","DEX","DF","--"
"16:14:01 ET","109.41","3140","109.50","111.99","5","7","P","DEX","DF","--"
"16:11:38 ET","109.50","100","109.50","111.99","5","7","P","DEX","DF","T"
"16:11:05 ET","108.679","200","109.50","109.73","5","1","P","DEX","DF","--"
"16:01:54 ET","109.41","696","108.72","109.77","8","1","TH","DEX","DF","T"
"16:01:52 ET","109.41","2053","108.72","109.77","8","1","TH","DEX","DF","T"
"16:01:52 ET","109.41","2052","108.72","109.77","8","1","TH","DEX","DF","T"
"16:01:52 ET","109.41","648","108.72","109.77","8","1","TH","DEX","DF","T"
"16:01:52 ET","109.41","916","108.72","109.77","8","1","TH","DEX","DF","T"
"16:01:52 ET","109.41","80","108.72","109.77","8","1","TH","DEX","DF","--"
"16:01:52 ET","109.41","100","108.72","109.77","8","1","TH","DEX","DF","T"
"16:01:50 ET","109.41","171","108.72","109.77","8","1","TH","DEX","DF","T"
"16:01:50 ET","109.41","182","108.72","109.77","8","1","TH","DEX","DF","T"
"16:01:50 ET","109.41","232","108.72","109.77","8","1","TH","DEX","DF","T"
"16:01:50 ET","109.41","130","108.72","109.77","8","1","TH","DEX","DF","T"
"16:01:50 ET","109.41","62","108.72","109.77","8","1","TH","DEX","DF","--"
"16:01:50 ET","109.41","30","107.93","109.77","1","1","P","DEX","DF","--"
"16:01:50 ET","109.41","3","107.93","109.77","1","1","P","DEX","DF","--"
"16:01:50 ET","109.41","627","107.93","109.77","1","1","P","DEX","DF","T"
"16:01:50 ET","109.41","204404","107.93","109.77","1","1","P","DEX","N","--"
"15:59:59 ET","109.43","55","109.43","109.44","70","10","N","N","N","--"
"15:59:59 ET","109.43","3700","109.43","109.44","89","10","N","N","N","--"
"15:59:59 ET","109.43","6014","109.42","109.44","36","37","N","N","N","--"
"15:59:59 ET","109.42","1","109.42","109.44","36","37","N","N","N","--"
"15:59:59 ET","109.42","1","109.42","109.44","36","37","N","N","N","--"
"15:59:59 ET","109.43","986","109.43","109.44","9","37","N","N","N","--"
"15:59:59 ET","109.43","149","109.43","109.44","9","33","N","N","DF","--"
"15:59:58 ET","109.43","800","109.43","109.44","10","33","N","N","N","--"
"15:59:58 ET","109.43","100","109.43","109.44","18","33","N","N","TH","--"
"15:59:58 ET","109.43","100","109.43","109.44","18","33","N","N","Z","--"
"15:59:58 ET","109.43","100","109.43","109.44","17","33","N","N","TH","--"
"15:59:58 ET","109.43","100","109.43","109.44","18","33","N","N","Z","--"
"15:59:58 ET","109.43","100","109.43","109.44","18","33","N","N","N","--"
"15:59:58 ET","109.43","100","109.43","109.44","19","33","N","N","P","--"
"15:59:58 ET","109.45","100","109.45","109.46","1","42","Z","N","Z","--"
"15:59:58 ET","109.45","400","109.45","109.46","4","42","N","N","N","--"
"15:59:58 ET","109.45","100","109.45","109.46","5","42","N","N","P","--"
"15:59:58 ET","109.45","100","109.45","109.46","5","42","N","N","N","--"
"15:59:58 ET","109.51","40","109.45","109.52","5","36","N","N","DF","--"
"15:59:58 ET","109.44","100","109.44","109.52","1","36","BYX","N","DF","--"
"15:59:58 ET","109.44","78","109.44","109.52","1","36","BYX","N","N","--"
"15:59:58 ET","109.44","100","109.44","109.52","2","36","BYX","N","BYX","--"
"15:59:58 ET","109.45","100","109.44","109.52","2","36","BYX","N","BYX","--"
"15:59:58 ET","109.44","400","109.44","109.52","2","36","BYX","N","N","--"
"15:59:58 ET","109.45","100","109.44","109.52","2","36","BYX","N","N","--"
"15:59:58 ET","109.51","6","109.44","109.52","2","38","BYX","N","B","--"
"15:59:57 ET","109.45","55","109.44","109.52","3","38","N","N","TH","--"
"15:59:57 ET","109.44","267","109.44","109.52","1","38","N","N","N","--"
"15:59:57 ET","109.45","33","109.44","109.52","1","38","N","N","N","--"
"15:59:57 ET","109.45","167","109.44","109.52","3","38","N","N","N","--"
"15:59:57 ET","109.46","33","109.44","109.52","3","38","N","N","N","--"
"15:59:57 ET","109.46","100","109.45","109.52","2","38","N","N","N","--"
"15:59:57 ET","109.46","8","109.45","109.52","2","38","N","N","N","--"
"15:59:57 ET","109.47","92","109.45","109.52","2","38","N","N","N","--"
"15:59:57 ET","109.45","200","109.45","109.52","2","38","N","N","P","--"
"15:59:57 ET","109.45","211","109.44","109.47","3","44","N","N","N","--"
"15:59:57 ET","109.45","100","109.45","109.47","1","44","Z","N","Z","--"
"15:59:57 ET","109.45","100","109.45","109.47","1","44","Z","N","P","--"
"15:59:57 ET","109.45","82","109.45","109.47","1","44","P","N","TH","--"
"15:59:57 ET","109.45","41","109.45","109.47","3","44","N","N","TH","--"
"15:59:57 ET","109.47","1","109.44","109.47","5","44","N","N","N","--"
"15:59:57 ET","109.47","100","109.44","109.47","5","44","N","N","Z","--"
"15:59:57 ET","109.47","60","109.44","109.47","5","44","N","N","N","--"
"15:59:57 ET","109.47","300","109.44","109.47","5","50","N","N","BYX","--"
"15:59:57 ET","109.47","100","109.44","109.47","5","51","N","N","BYX","--"
"15:59:56 ET","109.44","73","109.44","109.55","6","54","N","N","DF","--"
"15:59:56 ET","109.44","81","109.44","109.55","6","54","N","N","DF","--"
"15:59:56 ET","109.495","25","109.44","109.54","6","2","N","PH","DF","--"
"15:59:56 ET","109.495","50","109.44","109.55","6","54","N","N","DF","--"
"15:59:56 ET","109.52","7","109.44","109.55","6","54","N","N","DF","--"
"15:59:56 ET","109.51","7","109.44","109.55","6","54","N","N","BYX","--"
"15:59:56 ET","109.51","6","109.44","109.55","6","54","N","N","N","--"
"15:59:56 ET","109.495","75","109.44","109.55","6","54","N","N","DF","--"
"15:59:55 ET","109.46","15","109.44","109.55","6","48","N","N","DEA","--"
"15:59:55 ET","109.46","65","109.44","109.55","6","48","N","N","DEA","--"
"15:59:55 ET","109.54","41","109.44","109.55","6","44","N","N","DEA","--"
"15:59:55 ET","109.53","23","109.44","109.55","6","44","N","N","DEA","--"
"15:59:55 ET","109.47","24","109.44","109.55","6","44","N","N","DEA","--"
"15:59:55 ET","109.55","80","109.44","109.55","6","44","N","N","DF","--"
"15:59:55 ET","109.53","77","109.44","109.55","6","44","N","N","DEA","--"
"15:59:55 ET","109.53","100","109.44","109.55","6","44","N","N","DEA","--"
"15:59:55 ET","109.53","50","109.44","109.55","6","44","N","N","BYX","--"
"15:59:55 ET","109.52","50","109.44","109.55","6","44","N","N","BYX","--"
"15:59:55 ET","109.46","35","109.44","109.55","6","44","N","N","DEA","--"
"15:59:54 ET","109.53","23","109.44","109.55","8","44","N","N","DF","--"
"15:59:54 ET","109.45","50","109.44","109.55","8","44","N","N","Z","--"
"15:59:54 ET","109.47","50","109.44","109.55","8","44","N","N","Z","--"
"15:59:54 ET","109.48","100","109.44","109.55","8","44","N","N","Z","--"
"15:59:54 ET","109.46","50","109.44","109.55","8","44","N","N","N","--"
"15:59:54 ET","109.47","50","109.44","109.55","8","44","N","N","N","--"
"15:59:54 ET","109.47","100","109.44","109.55","8","44","N","N","P","--"
"15:59:54 ET","109.53","100","109.44","109.55","8","44","N","N","DEA","--"
"15:59:54 ET","109.46","100","109.44","109.55","6","44","N","N","BYX","--"
"15:59:54 ET","109.48","100","109.44","109.55","6","44","N","N","N","--"
"15:59:54 ET","109.53","100","109.44","109.55","6","44","N","N","P","--"
"15:59:54 ET","109.52","100","109.44","109.55","6","44","N","N","P","--"
"15:59:54 ET","109.46","97","109.44","109.55","6","39","N","N","A","--"
"15:59:54 ET","109.495","100","109.44","109.55","6","39","N","N","IX","--"
"15:59:54 ET","109.48","48","109.44","109.55","6","39","N","N","B","--"
"15:59:54 ET","109.45","36","109.45","109.55","1","39","PH","N","PH","--"
"15:59:54 ET","109.54","6","109.45","109.55","2","38","PH","N","BYX","--"
"15:59:54 ET","109.53","1","109.44","109.55","5","38","N","N","BYX","--"
"15:59:51 ET","109.51","50","109.43","109.55","2","40","N","N","B","--"
"15:59:51 ET","109.51","50","109.43","109.55","2","40","N","N","B","--"
"15:59:51 ET","109.45","15","109.43","109.55","1","40","DEA","N","DEA","--"
"15:59:51 ET","109.45","25","109.43","109.55","1","40","DEA","N","DEA","--"
