"Count","Date","Avg Price","Volume","Buy","Sell","???","Volume ($)","Buy ($)","Sell ($)","??? ($)","Buy (%)","Sell (%)","??? (%)","Dollar-Buy (%)","Dollar-Sell (%)","Dollar-??? (%)"
1,10/01/2019,0.00846608,662703,364592,50926,247185,5610.4939,3087.7356,412.6858,2110.0725,0.55016,0.07685,0.37300,0.55035,0.07356,0.37609
2,10/02/2019,0.00950858,1161972,765651,247771,148550,11048.6996,7412.7264,2287.2982,1348.6750,0.65892,0.21323,0.12784,0.67091,0.20702,0.12207
3,10/03/2019,0.01071708,2997478,825469,1659469,512540,32124.2137,9134.8155,17498.5442,5490.8540,0.27539,0.55362,0.17099,0.28436,0.54472,0.17093
4,10/04/2019,0.01165055,2864817,1860368,914998,89451,33376.6978,21669.3203,10764.2910,943.0865,0.64938,0.31939,0.03122,0.64923,0.32251,0.02826
5,10/07/2019,0.01216358,3828928,2133296,1324112,371520,46573.4602,26560.7784,15622.5374,4390.1444,0.55715,0.34582,0.09703,0.57030,0.33544,0.09426
6,10/08/2019,0.01111103,5084450,1934712,2340868,808870,56493.4810,22285.1250,25112.0406,9096.3154,0.38052,0.46040,0.15909,0.39447,0.44451,0.16102
7,10/09/2019,0.01109738,3338124,1927094,1116280,294750,37044.4462,21554.3596,12009.2566,3480.8300,0.57730,0.33440,0.08830,0.58185,0.32419,0.09396
8,10/10/2019,0.01086732,2623807,1054300,1316150,253357,28513.7548,11439.2182,14410.4950,2664.0416,0.40182,0.50162,0.09656,0.40118,0.50539,0.09343
9,10/11/2019,0.01068926,1969077,457100,1475777,36200,21047.9800,4950.7000,15702.8600,394.4200,0.23214,0.74948,0.01838,0.23521,0.74605,0.01874
10,10/14/2019,0.01247088,10016776,3876680,5501368,638728,124917.9626,52082.5641,64540.3183,8295.0802,0.38702,0.54922,0.06377,0.41693,0.51666,0.06640
11,10/15/2019,0.01078514,3561250,917592,2189580,454078,38408.5685,11017.3554,22677.2626,4713.9505,0.25766,0.61483,0.12751,0.28685,0.59042,0.12273
12,10/16/2019,0.01077942,2191773,1215513,838760,137500,23626.0463,13487.7143,8663.3320,1475.0000,0.55458,0.38269,0.06273,0.57088,0.36669,0.06243
13,10/17/2019,0.01084442,1870320,708506,783850,377964,20282.5402,7749.5003,8295.5585,4237.4814,0.37882,0.41910,0.20209,0.38208,0.40900,0.20892
14,10/18/2019,0.01017082,1128969,112800,811669,204500,11482.5400,1170.8000,8154.6900,2157.0500,0.09991,0.71895,0.18114,0.10196,0.71018,0.18785
15,10/21/2019,0.01060650,1077499,636124,354875,86500,11428.4940,6865.6140,3653.2500,909.6300,0.59037,0.32935,0.08028,0.60075,0.31966,0.07959
16,10/22/2019,0.01082768,2832536,1439164,1103182,290190,30669.7869,16102.5646,11488.8759,3078.3464,0.50808,0.38947,0.10245,0.52503,0.37460,0.10037
17,10/23/2019,0.01031583,1381068,615984,462777,302307,14246.8648,6478.5131,4643.9431,3124.4086,0.44602,0.33509,0.21889,0.45473,0.32596,0.21930
18,10/24/2019,0.00975097,1596750,642399,737351,217000,15569.8632,6422.6036,6958.1596,2189.1000,0.40232,0.46178,0.13590,0.41250,0.44690,0.14060
19,10/25/2019,0.00832873,1362325,142223,994588,225514,11346.4352,1270.7674,8108.7460,1966.9218,0.10440,0.73007,0.16554,0.11200,0.71465,0.17335
20,10/28/2019,0.00964886,510000,350000,160000,0,4920.9162,3406.9162,1514.0000,0,0.68627,0.31373,0.00000,0.69233,0.30767,0.00000
