Time & Sales
NIHK
10/03/2019
Hours: All
Price: All
Exch: All
Size: All
10/23/2019 11:36:36 AM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:55:43 ET","0.01","50000","0.01","0.0105","50000","60000","OTPK","OTPK","OP","--"
"15:55:43 ET","0.0103","50000","0.01","0.0105","50000","60000","OTPK","OTPK","OP","--"
"15:53:43 ET","0.0103","20000","0.01","0.0105","50000","80000","OTPK","OTPK","OP","--"
"15:53:43 ET","0.0105","20000","0.01","0.0105","50000","80000","OTPK","OTPK","OP","--"
"15:32:09 ET","0.0108","10000","0.01","0.0105","50000","10000","OTPK","OTPK","OP","--"
"15:32:09 ET","0.0108","20000","0.01","0.0108","50000","119000","OTPK","OTPK","OP","--"
"15:32:09 ET","0.0105","70000","0.0105","0.0108","70000","119000","OTPK","OTPK","OP","--"
"15:32:08 ET","0.0108","10000","0.0105","0.0108","70000","119000","OTPK","OTPK","OP","--"
"15:06:57 ET","0.0108","100000","0.0108","0.011","100000","159060","OTPK","OTPK","OP","--"
"15:04:57 ET","0.011","70940","0.011","0.0118","70940","15800","OTPK","OTPK","OP","--"
"15:03:50 ET","0.011","29060","0.011","0.0118","100000","15800","OTPK","OTPK","OP","--"
"15:03:37 ET","0.0118","10000","0.011","0.0118","100000","25800","OTPK","OTPK","OP","--"
"15:03:31 ET","0.0111","70940","0.011","0.0118","100000","25800","OTPK","OTPK","OP","--"
"15:03:25 ET","0.0117","10000","0.0111","0.0118","20940","25800","OTPK","OTPK","OP","--"
"14:55:26 ET","0.0111","25900","0.0111","0.0118","36840","25800","OTPK","OTPK","OP","--"
"14:52:39 ET","0.0111","26160","0.0111","0.0118","63000","25800","OTPK","OTPK","OP","--"
"14:48:49 ET","0.0117","25000","0.0111","0.0118","63000","25800","OTPK","OTPK","OP","--"
"14:17:29 ET","0.0115","17000","0.0115","0.0118","17000","25800","OTPK","OTPK","OP","--"
"13:55:09 ET","0.0118","10000","0.0115","0.0118","17000","35800","OTPK","OTPK","OP","--"
"13:55:09 ET","0.0117","10000","0.0115","0.0118","17000","35800","OTPK","OTPK","OP","--"
"13:46:57 ET","0.0115","20000","0.0115","0.0118","37000","35800","OTPK","OTPK","OP","--"
"13:42:05 ET","0.0115","13000","0.0115","0.0118","50000","35800","OTPK","OTPK","OP","--"
"13:42:05 ET","0.0116","20000","0.0115","0.0118","50000","35800","OTPK","OTPK","OP","--"
"13:42:04 ET","0.0117","10000","0.0115","0.0118","50000","35800","OTPK","OTPK","OP","--"
"13:28:38 ET","0.0118","10000","0.0115","0.0118","37000","45800","OTPK","OTPK","OP","--"
"13:26:10 ET","0.0118","29200","0.0115","0.0118","37000","10000","OTPK","OTPK","OP","--"
"13:25:25 ET","0.012","19914","0.0118","0.012","29200","195684","OTPK","OTPK","OP","--"
"13:25:04 ET","0.0119","10000","0.0118","0.012","29200","205684","OTPK","OTPK","OP","--"
"13:22:39 ET","0.0117","10000","0.0115","0.0118","37000","10800","OTPK","OTPK","OP","--"
"13:22:39 ET","0.0118","10800","0.0115","0.0118","37000","10800","OTPK","OTPK","OP","--"
"13:11:43 ET","0.0115","63000","0.0105","0.0115","140000","63000","OTPK","OTPK","OP","--"
"13:10:16 ET","0.0115","7400","0.0105","0.0115","90000","70400","OTPK","OTPK","OP","--"
"13:10:13 ET","0.0115","12600","0.0105","0.0115","90000","70400","OTPK","OTPK","OP","--"
"13:08:15 ET","0.0115","97400","0.0105","0.0115","10000","70400","OTPK","OTPK","OP","--"
"13:08:14 ET","0.0115","2600","0.0105","0.0115","10000","180400","OTPK","OTPK","OP","--"
"13:08:04 ET","0.0112","10500","0.0105","0.0115","10000","180400","OTPK","OTPK","OP","--"
"13:06:46 ET","0.0105","50000","0.0105","0.0115","60000","180400","OTPK","OTPK","OP","--"
"13:06:44 ET","0.0105","70000","0.0105","0.0115","130000","180400","OTPK","OTPK","OP","--"
"12:51:58 ET","0.0105","90000","0.0105","0.0108","100000","79000","OTPK","OTPK","OP","--"
"12:51:58 ET","0.0105","90000","0.0105","0.0108","100000","79000","OTPK","OTPK","OP","--"
"12:48:08 ET","0.0108","21000","0.0108","0.0115","121000","180400","OTPK","OTPK","OP","--"
"12:48:08 ET","0.0108","100000","0.0108","0.0115","121000","180400","OTPK","OTPK","OP","--"
"12:47:35 ET","0.0111","10000","0.0111","0.0115","10000","180400","OTPK","OTPK","OP","--"
"12:47:27 ET","0.0111","20000","0.0111","0.0115","10000","180400","OTPK","OTPK","OP","--"
"12:45:42 ET","0.0111","40000","0.0111","0.0115","40000","180400","OTPK","OTPK","OP","--"
"11:51:13 ET","0.0108","40000","0.0108","0.0115","171000","180400","OTPK","OTPK","OP","--"
"11:51:13 ET","0.0112","10000","0.0112","0.0115","10000","180400","OTPK","OTPK","OP","--"
"11:24:45 ET","0.0108","69000","0.0108","0.0115","130000","80400","OTPK","OTPK","OP","--"
"11:24:45 ET","0.0112","10000","0.0112","0.0115","10000","80400","OTPK","OTPK","OP","--"
"11:16:03 ET","0.0112","90000","0.0112","0.0115","10000","70400","OTPK","OTPK","OP","--"
"11:15:53 ET","0.0112","46100","0.0111","0.0115","40000","70400","OTPK","OTPK","OP","--"
"10:58:56 ET","0.0115","25000","0.0111","0.0115","40000","35000","OTPK","OTPK","OP","--"
"10:58:51 ET","0.0115","5000","0.0111","0.0115","40000","35000","OTPK","OTPK","OP","--"
"10:57:56 ET","0.011","40000","0.0105","0.011","100000","40000","OTPK","OTPK","OP","--"
"10:56:11 ET","0.0115","17400","0.0105","0.0115","100000","10000","OTPK","OTPK","OP","--"
"10:56:11 ET","0.0115","10000","0.0105","0.0115","100000","10000","OTPK","OTPK","OP","--"
"10:56:09 ET","0.0115","51500","0.0105","0.0115","100000","61500","OTPK","OTPK","OP","--"
"10:56:09 ET","0.0115","10000","0.0105","0.0115","100000","71500","OTPK","OTPK","OP","--"
"10:56:03 ET","0.0111","11100","0.0105","0.0111","100000","11100","OTPK","OTPK","OP","--"
"10:44:24 ET","0.01","212500","0.01","0.0111","10000","11100","OTPK","OTPK","OP","--"
"10:44:20 ET","0.0105","10000","0.0105","0.0111","10000","11100","OTPK","OTPK","OP","--"
"10:44:11 ET","0.0105","60000","0.0105","0.0111","60000","11100","OTPK","OTPK","OP","--"
"10:44:00 ET","0.0105","19000","0.0105","0.0111","79000","11100","OTPK","OTPK","OP","--"
"10:43:23 ET","0.0111","15000","0.0105","0.0111","79000","11100","OTPK","OTPK","OP","--"
"10:42:10 ET","0.0105","10000","0.01","0.0105","110000","10000","OTPK","OTPK","OP","--"
"10:42:00 ET","0.0105","10000","0.01","0.0105","110000","10000","OTPK","OTPK","OP","--"
