Time & Sales
NIHK
09/17/2019
Hours: All
Price: All
Exch: All
Size: All
09/20/2019 01:39:21 PM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"15:42:29 ET","0.0062","80000","0.0058","0.0062","212530","80000","OTPK","OTPK","OP","--"
"15:38:11 ET","0.0058","71842","0.0058","0.007","712530","100000","OTPK","OTPK","OP","--"
"15:30:43 ET","0.0065","10000","0.0058","0.007","712530","100000","OTPK","OTPK","OP","--"
"14:34:41 ET","0.0072","10000","0.0058","0.0074","662530","185238","OTPK","OTPK","OP","--"
"14:33:10 ET","0.0063","43500","0.0058","0.0063","162530","45000","OTPK","OTPK","OP","--"
"14:33:05 ET","0.0063","10000","0.0058","0.0063","162530","45000","OTPK","OTPK","OP","--"
"14:32:06 ET","0.0058","37470","0.0058","0.0063","162530","45000","OTPK","OTPK","OP","--"
"14:30:54 ET","0.0055","11500","0.0055","0.0058","355000","27470","OTPK","OTPK","OP","--"
"14:30:48 ET","0.0058","10000","0.0055","0.0058","355000","27470","OTPK","OTPK","OP","--"
"14:28:39 ET","0.0058","162530","0.0058","0.0063","162530","45000","OTPK","OTPK","OP","--"
"14:28:39 ET","0.0059","10000","0.0058","0.0063","162530","45000","OTPK","OTPK","OP","--"
"14:27:32 ET","0.0058","302470","0.0058","0.0063","465000","45000","OTPK","OTPK","OP","--"
"14:27:30 ET","0.0058","50000","0.0058","0.0063","465000","45000","OTPK","OTPK","OP","--"
"14:27:17 ET","0.0059","30000","0.0059","0.0063","30000","45000","OTPK","OTPK","OP","--"
"14:27:01 ET","0.0063","25000","0.0059","0.0063","30000","70000","OTPK","OTPK","OP","--"
"14:26:56 ET","0.0062","10000","0.0059","0.0063","30000","70000","OTPK","OTPK","OP","--"
"14:24:23 ET","0.0059","70000","0.0059","0.0063","100000","70000","OTPK","OTPK","OP","--"
"14:15:59 ET","0.0059","341300","0.0059","0.0063","341300","70000","OTPK","OTPK","OP","--"
"14:15:52 ET","0.0059","81700","0.0059","0.0063","423000","70000","OTPK","OTPK","OP","--"
"14:13:50 ET","0.006","33","0.0059","0.006","423000","11700","OTPK","OTPK","OP","--"
"14:13:43 ET","0.006","70000","0.0059","0.006","423000","81700","OTPK","OTPK","OP","--"
"14:13:06 ET","0.006","15000","0.0059","0.006","423000","96700","OTPK","OTPK","OP","--"
"14:12:55 ET","0.006","303300","0.006","0.0063","303333","70000","OTPK","OTPK","OP","--"
"14:12:52 ET","0.0063","30000","0.0063","0.0069","30000","200000","OTPK","OTPK","OP","--"
"13:02:01 ET","0.0063","70000","0.0062","0.0063","110000","70000","OTPK","OTPK","OP","--"
"13:01:51 ET","0.0063","50000","0.0062","0.0063","110000","120000","OTPK","OTPK","OP","--"
