Time & Sales
NIHK
09/27/2019
Hours: All
Price: All
Exch: All
Size: All
10/23/2019 07:00:00 AM ET

"Time","Last Price","Last Size","Bid Price","Ask Price","Bid Size","Ask Size","Bid Exchange","Ask Exchange","Last Exchange","Trade Condition"
"14:49:19 ET","0.008","25000","0.0074","0.008","60000","100000","OTPK","OTPK","OP","--"
"14:39:09 ET","0.0079","100000","0.0074","0.0084","60000","29000","OTPK","OTPK","OP","--"
"13:36:18 ET","0.0088","346660","0.0088","0.009","10000","29684","OTPK","OTPK","OP","--"
"13:36:17 ET","0.0088","11500","0.0079","0.0088","303700","356500","OTPK","OTPK","OP","--"
"12:55:47 ET","0.0087","40000","0.0078","0.0087","200000","40000","OTPK","OTPK","OP","--"
"12:38:35 ET","0.008","4316","0.0074","0.0088","60000","40000","OTPK","OTPK","OP","--"
"12:38:29 ET","0.008","100000","0.008","0.0088","104316","40000","OTPK","OTPK","OP","--"
"11:31:49 ET","0.008","85684","0.008","0.0088","104316","40000","OTPK","OTPK","OP","--"
"11:31:39 ET","0.0078","10000","0.0074","0.008","60000","75684","OTPK","OTPK","OP","--"
"11:01:42 ET","0.0081","10000","0.008","0.0088","10000","40000","OTPK","OTPK","OP","--"
"11:01:42 ET","0.008","10000","0.008","0.0088","10000","40000","OTPK","OTPK","OP","--"
"10:46:31 ET","0.008","202050","0.0079","0.008","203706","202050","OTPK","OTPK","OP","--"
"10:45:50 ET","0.008","40000","0.008","0.0088","40000","40000","OTPK","OTPK","OP","--"
"10:26:40 ET","0.0089","5000","0.0078","0.0089","203706","390000","OTPK","OTPK","OP","--"
"10:00:33 ET","0.0077","50000","0.0074","0.0077","60000","10000","OTPK","OTPK","OP","--"
"09:57:48 ET","0.0079","9790","0.0077","0.0079","50000","292050","OTPK","OTPK","OP","--"
"09:57:45 ET","0.008","38000","0.008","0.009","38000","125368","OTPK","OTPK","OP","--"
"09:57:35 ET","0.009","29684","0.008","0.009","38000","125368","OTPK","OTPK","OP","--"
"09:57:30 ET","0.009","14316","0.008","0.009","38000","139684","OTPK","OTPK","OP","--"
"09:49:26 ET","0.009","516","0.008","0.009","38000","140200","OTPK","OTPK","OP","--"
"09:49:20 ET","0.0089","10000","0.008","0.0089","38000","10000","OTPK","OTPK","OP","--"
"09:49:14 ET","0.0089","10000","0.008","0.0089","38000","20000","OTPK","OTPK","OP","--"
"09:49:09 ET","0.0085","10000","0.008","0.0089","38000","30000","OTPK","OTPK","OP","--"
"09:37:10 ET","0.008","50000","0.008","0.0089","85000","100000","OTPK","OTPK","OP","--"
"09:34:19 ET","0.0088","25000","0.008","0.0089","85000","80000","OTPK","OTPK","OP","--"
"09:30:08 ET","0.0089","8550","0.008","0.0089","85000","80000","OTPK","OTPK","OP","--"
"09:30:04 ET","0.008","15000","0.0078","0.0089","10000","10000","OTPK","OTPK","OP","--"
"","","","","","","","","","",""
